Final Quaternary String Length,Number of possible strands,Log2 Count
0,0.0,0.0
1,1.999999999999999889,0.99999999999999991993
2,7.999999999999999556,2.99999999999999992
3,23.999999999999998668,4.5849625007211561012
4,95.99999999999999467,6.5849625007211561012
5,319.99999999999998224,8.321928094887362268
6,1279.999999999999929,10.321928094887362268
7,4415.999999999999755,12.108524456778168974
8,17607.999999999999023,14.10394342989155719
9,62407.999999999996536,15.929443357684196185
10,248359.99999999998622,17.922073311246030255
11,1792991.9999999999005,20.773937620505322213
12,3563391.9999999998022,21.7648197688628154
13,26062079.999999998554,24.635448893395233593
14,51751167.999999997126,25.625088088152813514
15,382210303.99999997878,28.50979143152551824
16,758461239.9999999579,29.498500214734576817
17,5644288479.9999996866,32.3941445800556511
18,11194975943.999999379,33.38213237697398724
19,83816825871.99999535,36.286520836776989116
20,464694914783.9999742,38.75749290109930148
21,1250349697791.9999306,40.185468782906475053
22,6971290340463.999613,42.66456285291934932
23,18723260660991.99896,44.089896936074859633
24,104888704423975.99419,46.57585264934156182
25,281272958333935.98439,47.99896418661133201
26,1582133651239975.9121,50.490792900388341405
27,4237130102379711.765,51.912008851086188198
28,2.3917579442152702672e+16,54.408920908423391252
29,6.398135800779263645e+16,55.82850113225682055
30,3.622732505774968759e+17,58.32985589752968168
31,1.8085514345428255638e+18,60.649540336270153236
32,5.496736167057648615e+18,62.25328094237599746
33,2.7523238422996504764e+19,64.57728403241756215
34,8.353007672858393779e+19,66.178929566125918586
35,4.1937348104743069584e+20,68.50679753369063118
36,1.2711071550184453969e+21,70.10657564807381427
37,6.397164281074096826e+21,72.43792252520988478
38,1.9367095773811077782e+22,74.0360257158638888
39,9.768265487505664044e+22,76.370520498771003834
40,4.5914840725710481723e+23,78.60330672342986752
41,1.4929805896025603464e+24,80.3044696862613382
42,7.0325384057376070886e+24,82.54031980363025725
43,2.283837758261839327e+25,84.2396625387934105
44,1.0778789847980462839e+26,86.4783256805681445
45,3.4964071151679126733e+26,88.176003646428789226
46,1.6531296413322004739e+27,90.41725842970645932
47,5.3567183833287393427e+27,92.11340801376495332
48,2.5369084464663722148e+28,94.35705811230937993
49,8.212451621850618887e+28,96.0517996236361481
50,3.8953565454285410996e+29,98.29767013721679974
51,1.7657829186732621814e+30,100.47815083886901869
52,5.9843802361380880894e+30,102.23904469085762253
53,2.7168350638594778115e+31,104.4216979252592246
54,9.19828749073472376e+31,106.18113623109122127
55,4.1817969886330567586e+32,108.36582206231126435
56,1.4144840491998129613e+33,110.123903039180022594
57,6.439137331064472601e+33,112.31049455074697968
58,2.176110169810774434e+34,114.06730682385059069
59,9.918578248969658462e+34,116.25568856249192062
60,4.379520881479173703e+35,118.39825636902970847
61,1.528342196028844338e+36,120.20137901510514916
62,6.7565163534057682245e+36,122.34569100341409758
