Final Quaternary Strand Length,Almost Balanced And RLL log2 of possible strands
0,0.0
1,1.0
2,3.0
3,4.584962500721156
4,6.584962500721156
5,8.321928094887362
6,10.321928094887362
7,12.108524456778168
8,14.103943429891558
9,15.929443357684196
10,17.92207331124603
11,20.773937620505322
12,21.764819768862814
13,24.635448893395235
14,25.625088088152815
15,28.509791431525517
16,29.498500214734577
17,32.39414458005565
18,33.382132376973985
19,36.28652083677699
20,38.757492901099305
21,40.185468782906476
22,42.664562852919346
23,44.08989693607486
24,46.57585264934156
25,47.99896418661133
26,50.49079290038834
27,51.912008851086185
28,54.40892090842339
29,55.82850113225682
30,58.32985589752968
31,60.64954033627015
32,62.253280942375994
33,64.57728403241757
34,66.17892956612592
35,68.50679753369063
36,70.10657564807381
37,72.43792252520988
38,74.03602571586389
39,76.370520498771
40,78.60330672342987
41,80.30446968626134
42,82.54031980363025
43,84.23966253879341
44,86.47832568056815
45,88.17600364642878
46,90.41725842970646
47,92.11340801376495
48,94.35705811230937
49,96.05179962363614
50,98.2976701372168
51,100.47815083886903
52,102.23904469085763
53,104.42169792525922
54,106.18113623109123
55,108.36582206231127
56,110.12390303918002
57,112.31049455074698
58,114.06730682385059
59,116.25568856249193
60,118.39825636902971
61,120.20137901510515
62,122.3456910034141
63,124.14754244956924
64,126.29350424223814
65,128.0941569134803
66,130.24168152072008
67,132.0412018507696
68,134.19020892707894
69,135.9886579984871
70,138.13907318937754
71,140.25557179714585
72,142.0882616569703
73,144.20613245901404
74,146.03776227841362
75,148.1569430864874
76,149.98756357720538
77,152.10799628294114
78,153.93765462635136
79,156.05928485742027
80,158.15474964396674
81,160.01080183356635
