Quaternary String Length,AlmostBalancedAndRLL log2 of possible strands count
0,0.0
1,1.0
2,3.0
3,4.584962500721156
4,6.584962500721156
5,8.321928094887362
6,10.321928094887362
7,12.108524456778168
8,14.103943429891558
9,15.929443357684196
10,17.92207331124603
11,20.773937620505322
12,21.764819768862814
13,24.635448893395235
14,25.625088088152815
15,28.509791431525517
16,29.498500214734577
17,32.39414458005565
18,33.382132376973985
19,36.28652083677699
20,38.757492901099305
21,40.185468782906476
22,42.664562852919346
23,44.08989693607486
24,46.57585264934156
25,47.99896418661133
26,50.49079290038834
27,51.912008851086185
28,54.40892090842339
29,55.82850113225682
30,58.32985589752968
31,60.64954033627015
32,62.253280942375994
33,64.57728403241757
34,66.17892956612592
35,68.50679753369063
36,70.10657564807381
37,72.43792252520988
38,74.03602571586389
39,76.370520498771
40,78.60330672342987
41,80.30446968626134
42,82.54031980363025
43,84.23966253879341
44,86.47832568056815
45,88.17600364642878
46,90.41725842970646
47,92.11340801376495
48,94.35705811230937
49,96.05179962363614
50,98.2976701372168
51,100.47815083886903
52,102.23904469085763
53,104.42169792525922
54,106.18113623109123
55,108.36582206231127
56,110.12390303918002
57,112.31049455074698
58,114.06730682385059
59,116.25568856249193
60,118.39825636902971
61,120.20137901510515
62,122.3456910034141
63,124.14754244956924
64,126.29350424223814
65,128.0941569134803
66,130.24168152072008
67,132.0412018507696
68,134.19020892707894
69,135.9886579984871
70,138.13907318937754
71,140.25557179714585
72,142.0882616569703
73,144.20613245901404
74,146.03776227841362
75,148.1569430864874
76,149.98756357720538
77,152.10799628294114
78,153.93765462635136
79,156.05928485742027
80,158.15474964396674
81,160.01080183356635
82,162.10742886216687
83,163.96254045457374
84,166.06028384104042
85,167.91449418506613
86,170.01331066062411
87,171.86665671059967
88,173.96650543129485
89,175.81902193535203
90,177.9198643080034
91,179.99991498548795
92,181.87338350151208
93,183.95439780618838
94,185.82705928716032
95,187.9090042606724
96,189.78088801159046
97,191.8637323184654
98,193.7348660977917
99,195.81857992384593
100,197.88537739576438
101,199.7735450069998
102,201.84118283777917
103,203.72862549342037
104,205.797078121235
105,207.6838193118112
106,209.75306228725913
107,211.63912440070774
108,213.70913432594395
109,215.59453871400348
110,217.66529318571585
111,219.72202531666784
112,221.62153778150977
113,223.67898879756487
114,225.57786700189982
115,227.6360175636759
116,229.53427971531647
117,231.59311122317288
118,233.4907747754633
119,235.55026933435383
120,237.5979680903085
121,239.5074914122347
122,241.55582852401307
123,243.46477693442813
124,245.513736932035
125,247.42212534638634
126,249.47169328735202
127,251.37953606607857
128,253.42969751357964
129,255.33700848816335
130,257.38774949011116
131,259.42843665231084
132,261.3458490567734
133,263.3870936592776
134,265.3039960180448
135,267.34578595093046
136,269.2621901468786
137,271.30451366664994
138,273.2204311881685
139,275.2632769045773
140,277.29747156360435
141,279.2220757252297
142,281.25677142049636
143,283.1809101548141
144,285.2160970003669
145,287.13978018826805
146,289.1754485655523
147,291.0986857920483
148,293.1348263416427
149,295.0576269066915
150,297.09423052025966
151,299.12331495350554
152,301.05366126162846
153,303.0831896023191
154,305.01311869695945
155,307.0430830217886
156,308.9726029306546
157,311.00299550720126
158,312.9321140423519
159,314.9629273240521
160,316.98716489101264
161,318.9228787100259
162,320.94751871590967
163,322.88284987684744
164,324.90788576384773
165,326.84284101200916
166,328.86826636317477
167,330.80285228038474
168,332.8286608165628
169,334.7628838257367
170,336.78906940252944
171,338.8094567569025
172,340.749492376868
173,342.7702401092025
174,344.70992997399185
175,346.7310327394329
176,348.67038240819926
177,350.69183496397727
178,352.630849874862
179,354.6526470785018
180,356.66931210164313
181,358.6134693590573
182,360.63046317702674
183,362.57430206312176
184,364.59162021090515
185,366.5351454305859
186,368.5527835185318
187,370.4959996846863
188,372.5139533975396
189,374.456865032888
190,376.4751301287884
191,378.48882000668783
192,380.43631397717047
193,382.4503006947851
194,384.3975051923767
195,386.4117850664096
196,388.3587040096255
197,390.373273411612
198,392.3199106503562
199,394.3347660061943
200,396.34553411781104
201,398.2962631123308
202,400.3073033614794
203,402.2577649791621
204,404.26907427036764
205,406.21927184336255
206,408.23084712114667
207,410.1807839296827
208,412.19262217844096
209,414.1423014514678
210,416.1543996953064
211,418.1628229198885
212,420.1161799136892
213,422.12485040280785
214,424.0779630648668
215,426.0868782431268
216,428.0397493698705
217,430.0489066906943
218,432.00153903989195
219,434.01093598557844
220,436.0170259986555
221,437.9729663584205
222,439.97928391468577
223,441.93499803077566
224,443.9415409585768
225,445.89703121544215
226,447.9037973634985
227,449.859066116778
228,451.8660533543784
229,453.8211029310065
230,455.8283091481737
231,457.8325215574759
232,459.7905649541341
233,461.79498517187
234,463.7528209740564
235,465.75744718313643
236,467.7150774025314
237,469.71990780006814
238,471.67733442718173
239,473.6823672247393
240,475.6846904235605
241,477.6448256527076
242,479.6473406579262
243,481.6072832732103
244,483.6099885510231
245,485.56974026935535
246,487.5726342952901
247,489.5321968183066
248,491.5352780775174
249,493.4946530914638
250,495.4979200790015
251,497.49872036725054
252,499.46056047569573
253,501.4615366692386
254,503.423199438357
255,505.4243502496905
256,507.3858371326896
257,509.38716128024373
258,511.34847371948433
259,513.3499699279163
260,515.349223085472
261,517.312776355222
