,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,3.0
58,4.0
59,4.0
60,4.0
61,4.0
62,4.0
63,4.0
64,4.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,4.0
78,6.0
79,6.0
80,6.0
81,6.0
82,6.0
83,6.0
84,6.0
85,6.0
86,6.0
87,6.0
88,6.0
89,6.0
90,6.0
91,6.0
92,6.0
93,6.0
94,6.0
95,6.0
96,6.0
97,6.0
98,8.0
99,8.0
100,8.0
101,8.0
102,8.0
103,8.0
104,8.0
105,8.0
106,8.0
107,8.0
108,8.0
109,8.0
110,8.0
111,8.0
112,8.0
113,8.0
114,8.0
115,8.0
116,8.0
117,8.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,12.0
139,12.0
140,12.0
141,12.0
142,12.0
143,12.0
144,12.0
145,12.0
146,12.0
147,12.0
148,12.0
149,12.0
150,12.0
151,12.0
152,12.0
153,12.0
154,12.0
155,12.0
156,12.0
157,12.0
158,14.0
159,14.0
160,14.0
161,14.0
162,14.0
163,14.0
164,14.0
165,14.0
166,14.0
167,14.0
168,14.0
169,14.0
170,14.0
171,14.0
172,14.0
173,14.0
174,14.0
175,14.0
176,14.0
177,14.0
178,16.0
179,16.0
180,16.0
181,16.0
182,16.0
183,16.0
184,16.0
185,16.0
186,16.0
187,16.0
188,16.0
189,16.0
190,16.0
191,16.0
192,16.0
193,16.0
194,16.0
195,16.0
196,16.0
197,16.0
198,18.0
199,18.0
200,18.0
201,18.0
202,18.0
203,18.0
204,18.0
205,18.0
206,18.0
207,18.0
208,18.0
209,18.0
210,18.0
211,18.0
212,18.0
213,18.0
214,18.0
215,18.0
216,18.0
217,18.0
218,20.0
219,20.0
220,20.0
221,20.0
222,20.0
223,20.0
224,20.0
225,20.0
226,20.0
227,20.0
228,20.0
229,20.0
230,20.0
231,20.0
232,20.0
233,20.0
234,20.0
235,20.0
236,20.0
237,20.0
238,22.0
239,22.0
240,22.0
241,22.0
242,22.0
243,22.0
244,22.0
245,22.0
246,22.0
247,22.0
248,22.0
249,22.0
250,22.0
251,22.0
252,22.0
253,22.0
254,22.0
255,22.0
256,22.0
257,22.0
258,24.0
259,24.0
260,24.0
261,24.0
262,24.0
263,24.0
264,24.0
265,24.0
266,24.0
267,24.0
268,24.0
269,24.0
270,24.0
271,24.0
272,24.0
273,24.0
274,24.0
275,24.0
276,24.0
277,24.0
278,26.0
279,26.0
280,26.0
281,26.0
282,26.0
283,26.0
284,26.0
285,26.0
286,26.0
287,26.0
288,26.0
289,26.0
290,26.0
291,26.0
292,26.0
293,26.0
294,26.0
295,26.0
296,26.0
297,26.0
298,28.0
299,28.0
300,28.0
301,28.0
302,28.0
303,28.0
304,28.0
305,28.0
306,28.0
307,28.0
308,28.0
309,28.0
310,28.0
311,28.0
312,28.0
313,28.0
314,28.0
315,28.0
316,28.0
317,28.0
318,30.0
319,30.0
320,30.0
321,30.0
322,30.0
323,30.0
324,30.0
325,30.0
326,30.0
327,30.0
328,30.0
329,30.0
330,30.0
331,30.0
332,30.0
333,30.0
334,30.0
335,30.0
336,30.0
337,30.0
338,32.0
339,32.0
340,32.0
341,32.0
342,32.0
343,32.0
344,32.0
345,32.0
346,32.0
347,32.0
348,32.0
349,32.0
350,32.0
351,32.0
352,32.0
353,32.0
354,32.0
355,32.0
356,32.0
357,32.0
358,34.0
359,34.0
360,34.0
361,34.0
362,34.0
363,34.0
364,34.0
365,34.0
366,34.0
367,34.0
368,34.0
369,34.0
370,34.0
371,34.0
372,34.0
373,34.0
374,34.0
375,34.0
376,34.0
377,34.0
378,36.0
379,36.0
380,36.0
381,36.0
382,36.0
383,36.0
384,36.0
385,36.0
386,36.0
387,36.0
388,36.0
389,36.0
390,36.0
391,36.0
392,36.0
393,36.0
394,36.0
395,36.0
396,36.0
397,36.0
398,38.0
399,38.0
400,38.0
401,38.0
402,38.0
403,38.0
404,38.0
405,38.0
406,38.0
407,38.0
408,38.0
409,38.0
410,38.0
411,38.0
412,38.0
413,38.0
414,38.0
415,38.0
416,38.0
417,38.0
418,40.0
419,40.0
420,40.0
421,40.0
422,40.0
423,40.0
424,40.0
425,40.0
426,40.0
427,40.0
428,40.0
429,40.0
430,40.0
431,40.0
432,40.0
433,40.0
434,40.0
435,40.0
436,40.0
437,40.0
438,42.0
439,42.0
440,42.0
441,42.0
442,42.0
443,42.0
444,42.0
445,42.0
446,42.0
447,42.0
448,42.0
449,42.0
450,42.0
451,42.0
452,42.0
453,42.0
454,42.0
455,42.0
456,42.0
457,42.0
458,44.0
459,44.0
460,44.0
461,44.0
462,44.0
463,44.0
464,44.0
465,44.0
466,44.0
467,44.0
468,44.0
469,44.0
470,44.0
471,44.0
472,44.0
473,44.0
474,44.0
475,44.0
476,44.0
477,44.0
478,46.0
479,46.0
480,46.0
481,46.0
482,46.0
483,46.0
484,46.0
485,46.0
486,46.0
487,46.0
488,46.0
489,46.0
490,46.0
491,46.0
492,46.0
493,46.0
494,46.0
495,46.0
496,46.0
497,46.0
498,48.0
499,48.0
500,48.0
501,48.0
502,48.0
503,48.0
504,48.0
505,48.0
506,48.0
507,48.0
508,48.0
509,48.0
510,48.0
511,48.0
512,48.0
513,48.0
514,48.0
515,48.0
516,48.0
517,48.0
518,50.0
519,50.0
520,50.0
521,50.0
522,50.0
523,50.0
524,50.0
525,50.0
526,50.0
527,50.0
528,50.0
529,50.0
530,50.0
531,50.0
532,50.0
533,50.0
534,50.0
535,50.0
536,50.0
537,50.0
538,52.0
539,52.0
540,52.0
541,52.0
542,52.0
543,52.0
544,52.0
545,52.0
546,52.0
547,52.0
548,52.0
549,52.0
550,52.0
551,52.0
552,52.0
553,52.0
554,52.0
555,52.0
556,52.0
557,52.0
558,54.0
559,54.0
560,54.0
561,54.0
562,54.0
563,54.0
564,54.0
565,54.0
566,54.0
567,54.0
568,54.0
569,54.0
570,54.0
571,54.0
