,max length of binary vectors
0,0.0
1,2.0
2,3.0
3,4.0
4,6.0
5,8.0
6,10.0
7,12.0
8,14.0
9,15.0
10,17.0
11,20.0
12,21.0
13,24.0
14,25.0
15,28.0
16,29.0
17,32.0
18,33.0
19,36.0
20,38.0
21,40.0
22,42.0
23,44.0
24,46.0
25,48.0
26,50.0
27,52.0
28,54.0
29,56.0
30,58.0
31,61.0
32,62.0
33,65.0
34,66.0
35,69.0
36,70.0
37,72.0
38,74.0
39,76.0
40,79.0
41,80.0
42,83.0
43,84.0
44,87.0
45,88.0
46,91.0
47,92.0
48,95.0
49,96.0
50,99.0
51,101.0
52,103.0
53,105.0
54,107.0
55,109.0
56,110.0
57,113.0
58,114.0
59,117.0
60,119.0
61,121.0
62,123.0
63,125.0
64,127.0
65,125.0
66,128.0
67,129.0
