,max length of binary vectors
0,0.0
1,2.0
2,3.0
3,4.0
4,6.0
5,8.0
6,10.0
7,12.0
8,14.0
9,15.0
10,17.0
11,20.0
12,21.0
13,24.0
14,25.0
15,28.0
16,29.0
17,32.0
18,33.0
19,36.0
20,38.0
21,40.0
22,42.0
23,44.0
24,46.0
25,48.0
26,50.0
27,52.0
28,54.0
29,56.0
30,58.0
31,61.0
32,62.0
33,65.0
34,66.0
35,69.0
36,70.0
37,72.0
38,74.0
39,76.0
40,79.0
41,80.0
42,83.0
43,84.0
44,87.0
45,88.0
46,91.0
47,92.0
48,95.0
49,96.0
50,99.0
51,101.0
52,103.0
53,105.0
54,107.0
55,109.0
56,110.0
57,113.0
58,114.0
59,117.0
60,119.0
61,121.0
62,123.0
63,125.0
64,127.0
65,129.0
66,131.0
67,133.0
68,135.0
69,137.0
70,139.0
71,141.0
72,143.0
73,145.0
74,147.0
75,149.0
76,151.0
77,153.0
78,155.0
79,157.0
80,159.0
81,161.0
82,163.0
83,165.0
84,167.0
85,169.0
86,171.0
87,173.0
88,175.0
89,177.0
90,179.0
91,181.0
92,183.0
93,185.0
94,187.0
95,189.0
96,191.0
97,193.0
98,195.0
99,197.0
100,199.0
101,201.0
102,203.0
103,205.0
104,207.0
105,209.0
106,211.0
107,213.0
108,215.0
109,217.0
110,219.0
111,221.0
112,223.0
113,225.0
114,227.0
115,229.0
116,231.0
117,233.0
118,235.0
119,237.0
120,239.0
121,241.0
122,243.0
123,245.0
124,247.0
125,249.0
126,251.0
127,253.0
128,255.0
129,257.0
130,259.0
131,261.0
132,263.0
133,265.0
134,267.0
135,269.0
136,271.0
137,273.0
138,275.0
139,277.0
140,279.0
141,281.0
142,283.0
143,285.0
144,287.0
145,289.0
146,291.0
147,293.0
148,295.0
149,297.0
150,299.0
151,301.0
152,303.0
153,305.0
154,307.0
155,309.0
156,311.0
157,313.0
158,315.0
159,317.0
160,319.0
161,321.0
162,323.0
163,325.0
164,327.0
165,329.0
166,331.0
167,333.0
168,335.0
169,337.0
170,339.0
171,341.0
172,343.0
173,345.0
174,347.0
175,349.0
176,351.0
177,353.0
178,355.0
179,357.0
180,359.0
181,361.0
182,363.0
183,365.0
184,367.0
185,369.0
186,371.0
187,373.0
188,375.0
189,377.0
190,379.0
191,381.0
192,383.0
193,385.0
194,387.0
195,389.0
196,391.0
197,393.0
198,395.0
199,397.0
200,399.0
201,401.0
202,403.0
203,405.0
204,407.0
205,409.0
206,411.0
207,413.0
208,415.0
209,417.0
210,419.0
211,421.0
212,423.0
213,425.0
214,427.0
215,429.0
216,431.0
217,433.0
218,435.0
219,437.0
220,439.0
221,441.0
222,443.0
223,445.0
224,447.0
225,449.0
226,451.0
227,453.0
228,455.0
229,457.0
230,459.0
231,461.0
232,463.0
233,465.0
234,467.0
235,469.0
236,471.0
237,473.0
238,475.0
239,477.0
240,479.0
241,481.0
242,483.0
243,485.0
244,487.0
245,489.0
246,491.0
247,493.0
248,495.0
249,497.0
250,499.0
251,501.0
252,503.0
253,505.0
254,507.0
255,509.0
256,511.0
257,513.0
258,515.0
259,517.0
260,519.0
261,521.0
262,523.0
263,525.0
264,527.0
265,529.0
266,531.0
267,533.0
268,535.0
269,537.0
270,539.0
271,541.0
272,543.0
273,545.0
274,547.0
275,549.0
276,551.0
277,553.0
278,555.0
279,557.0
280,559.0
281,561.0
282,563.0
283,565.0
284,567.0
285,569.0
286,571.0
287,573.0
288,575.0
289,577.0
290,579.0
291,581.0
292,583.0
293,585.0
294,587.0
295,589.0
296,591.0
297,593.0
298,595.0
299,597.0
300,599.0
301,601.0
302,603.0
303,605.0
304,607.0
305,609.0
306,611.0
307,613.0
308,615.0
