,max length of binary vectors
0,0.0
1,2.0
2,3.0
3,4.584962500721156
4,6.584962500721156
5,8.321928094887362
6,10.321928094887362
7,12.129283016944967
8,14.129283016944967
9,15.977279923499918
10,17.977279923499918
11,19.851749041416056
12,21.851749041416056
13,23.744833837499545
14,25.744833837499545
15,27.651724433108065
16,29.651724433108065
17,31.56926227291609
18,33.56926227291609
19,35.495261691472315
20,37.495261691472315
21,39.42814749561378
22,41.42814749561378
23,43.36674695094963
24,45.36674695094963
25,47.310163422583265
26,49.310163422583265
27,51.25769600268913
28,53.25769600268913
29,55.20878640220818
30,57.20878640220818
31,59.16298271259506
32,61.16298271259506
33,63.119913990703175
34,65.11991399070317
35,67.07927200620583
36,69.07927200620583
37,71.04079785839119
38,73.04079785839119
39,75.00427198236608
40,77.00427198236608
41,78.9695065642054
42,80.9695065642054
43,82.9363397002702
44,84.9363397002702
45,86.90463084054286
46,88.90463084054286
47,90.87425719149934
48,92.87425719149934
49,94.84511084583983
50,96.84511084583983
51,98.81709646967023
52,100.81709646967023
53,102.79012942206995
54,104.79012942206995
55,106.76413421353702
56,108.76413421353702
57,110.73904323257419
58,112.73904323257419
59,114.7147956863275
60,116.7147956863275
61,118.69133671350352
62,120.69133671350352
63,122.66861663700344
64,124.66861663700344
65,126.64659033067343
66,128.64659033067343
67,130.62521667988088
68,132.62521667988088
69,134.60445811971408
70,136.60445811971408
71,138.58428023777645
72,140.58428023777645
73,142.56465143102753
74,144.56465143102753
75,146.5455426080798
76,148.5455426080798
77,150.52692692991246
78,152.52692692991246
79,154.5087795832022
80,156.5087795832022
81,158.49107758146874
82,160.49107758146874
83,162.4737995900369
84,164.4737995900369
85,166.45692577147253
86,168.45692577147253
87,170.44043764868394
88,172.44043764868394
89,174.42431798332066
90,176.42431798332066
91,178.40855066746235
92,180.40855066746235
93,182.39312062689274
94,184.39312062689274
95,186.37801373450253
96,188.37801373450253
97,190.36321673257447
98,192.36321673257447
99,194.34871716287932
100,196.34871716287932
101,198.33450330365963
102,200.33450330365963
103,202.32056411270176
104,204.32056411270176
105,206.30688917580468
106,208.30688917580468
107,210.29346866004238
108,212.29346866004238
109,214.28029327129462
110,216.28029327129462
111,218.26735421558715
112,220.26735421558715
113,222.25464316383759
114,224.25464316383759
115,226.24215221965437
116,228.24215221965437
117,230.22987388987593
118,232.22987388987593
119,234.21780105757537
120,236.21780105757537
121,238.2059269572871
122,240.2059269572871
123,242.19424515223943
124,244.19424515223943
125,246.18274951340163
126,248.18274951340163
127,250.1714342001738
128,252.1714342001738
129,254.16029364256858
130,256.1602936425686
131,258.14932252474756
132,260.1493225247476
133,262.13851576979096
134,264.13851576979096
135,266.12786852559145
136,268.12786852559145
137,270.11737615177384
138,272.11737615177384
139,274.1070342075524
140,276.1070342075524
141,278.0968384404465
142,280.0968384404465
143,282.0867847757826
144,284.0867847757826
145,286.0768693069175
146,288.0768693069175
147,290.0670882861249
148,292.0670882861249
149,294.0574381160912
150,296.0574381160912
151,298.04791534197267
