Original Quaternary String Length,Quaternary Redundancy,Final Quaternary String Length
0,0.0,0.0
1,4.0,5.0
2,4.0,6.0
3,4.0,7.0
4,4.0,8.0
5,4.0,9.0
6,4.0,10.0
7,4.0,11.0
8,4.0,12.0
9,4.0,13.0
10,4.0,14.0
11,4.0,15.0
12,4.0,16.0
13,4.0,17.0
14,4.0,18.0
15,4.0,19.0
16,4.0,20.0
17,5.0,22.0
18,5.0,23.0
19,5.0,24.0
20,5.0,25.0
21,5.0,26.0
22,5.0,27.0
23,5.0,28.0
24,5.0,29.0
25,5.0,30.0
26,5.0,31.0
27,5.0,32.0
28,5.0,33.0
29,5.0,34.0
30,5.0,35.0
31,5.0,36.0
32,5.0,37.0
33,6.0,39.0
34,6.0,40.0
35,6.0,41.0
36,6.0,42.0
37,6.0,43.0
38,6.0,44.0
39,6.0,45.0
40,6.0,46.0
41,6.0,47.0
42,6.0,48.0
43,6.0,49.0
44,6.0,50.0
45,6.0,51.0
46,6.0,52.0
47,6.0,53.0
48,6.0,54.0
49,7.0,56.0
50,7.0,57.0
51,7.0,58.0
52,7.0,59.0
53,7.0,60.0
54,7.0,61.0
55,7.0,62.0
56,7.0,63.0
57,7.0,64.0
58,7.0,65.0
59,7.0,66.0
60,7.0,67.0
61,7.0,68.0
62,7.0,69.0
63,7.0,70.0
64,7.0,71.0
65,8.0,73.0
66,8.0,74.0
67,8.0,75.0
68,8.0,76.0
69,8.0,77.0
70,8.0,78.0
71,8.0,79.0
72,8.0,80.0
73,8.0,81.0
74,8.0,82.0
75,8.0,83.0
76,8.0,84.0
77,8.0,85.0
78,8.0,86.0
79,8.0,87.0
80,8.0,88.0
81,9.0,90.0
82,9.0,91.0
83,9.0,92.0
84,9.0,93.0
85,9.0,94.0
86,9.0,95.0
87,9.0,96.0
88,9.0,97.0
89,9.0,98.0
90,9.0,99.0
91,9.0,100.0
92,9.0,101.0
93,9.0,102.0
94,9.0,103.0
95,9.0,104.0
96,9.0,105.0
97,10.0,107.0
98,10.0,108.0
99,10.0,109.0
100,10.0,110.0
101,10.0,111.0
102,10.0,112.0
103,10.0,113.0
104,10.0,114.0
105,10.0,115.0
106,10.0,116.0
107,10.0,117.0
108,10.0,118.0
109,10.0,119.0
110,10.0,120.0
111,10.0,121.0
112,10.0,122.0
113,11.0,124.0
114,11.0,125.0
115,11.0,126.0
116,11.0,127.0
117,11.0,128.0
118,11.0,129.0
119,11.0,130.0
120,11.0,131.0
121,11.0,132.0
122,11.0,133.0
123,11.0,134.0
124,11.0,135.0
125,11.0,136.0
126,11.0,137.0
127,11.0,138.0
128,11.0,139.0
129,12.0,141.0
130,12.0,142.0
131,12.0,143.0
132,12.0,144.0
133,12.0,145.0
134,12.0,146.0
135,12.0,147.0
136,12.0,148.0
137,12.0,149.0
138,12.0,150.0
139,12.0,151.0
140,12.0,152.0
141,12.0,153.0
142,12.0,154.0
143,12.0,155.0
144,12.0,156.0
145,13.0,158.0
146,13.0,159.0
147,13.0,160.0
148,13.0,161.0
149,13.0,162.0
150,13.0,163.0
151,13.0,164.0
152,13.0,165.0
153,13.0,166.0
154,13.0,167.0
155,13.0,168.0
156,13.0,169.0
157,13.0,170.0
158,13.0,171.0
159,13.0,172.0
160,13.0,173.0
161,14.0,175.0
162,14.0,176.0
163,14.0,177.0
164,14.0,178.0
165,14.0,179.0
166,14.0,180.0
167,14.0,181.0
168,14.0,182.0
169,14.0,183.0
170,14.0,184.0
171,14.0,185.0
172,14.0,186.0
173,14.0,187.0
174,14.0,188.0
175,14.0,189.0
176,14.0,190.0
177,15.0,192.0
178,15.0,193.0
179,15.0,194.0
180,15.0,195.0
181,15.0,196.0
182,15.0,197.0
183,15.0,198.0
184,15.0,199.0
185,15.0,200.0
186,14.0,200.0
187,14.0,201.0
188,14.0,202.0
189,14.0,203.0
190,14.0,204.0
191,14.0,205.0
192,14.0,206.0
193,15.0,208.0
194,15.0,209.0
195,15.0,210.0
196,15.0,211.0
197,15.0,212.0
198,15.0,213.0
199,15.0,214.0
200,15.0,215.0
201,15.0,216.0
202,15.0,217.0
203,15.0,218.0
204,15.0,219.0
205,15.0,220.0
206,15.0,221.0
207,15.0,222.0
208,15.0,223.0
209,16.0,225.0
210,16.0,226.0
211,16.0,227.0
212,16.0,228.0
213,16.0,229.0
214,16.0,230.0
215,16.0,231.0
216,16.0,232.0
217,16.0,233.0
218,16.0,234.0
219,16.0,235.0
220,16.0,236.0
221,16.0,237.0
222,16.0,238.0
223,16.0,239.0
224,16.0,240.0
225,17.0,242.0
226,17.0,243.0
227,17.0,244.0
228,17.0,245.0
229,17.0,246.0
230,17.0,247.0
231,17.0,248.0
232,17.0,249.0
233,17.0,250.0
234,17.0,251.0
235,17.0,252.0
236,17.0,253.0
237,17.0,254.0
238,17.0,255.0
239,17.0,256.0
240,17.0,257.0
241,18.0,259.0
242,18.0,260.0
243,18.0,261.0
244,18.0,262.0
245,18.0,263.0
246,18.0,264.0
247,18.0,265.0
248,18.0,266.0
249,18.0,267.0
250,18.0,268.0
251,18.0,269.0
252,18.0,270.0
253,18.0,271.0
254,18.0,272.0
255,18.0,273.0
256,18.0,274.0
257,19.0,276.0
258,19.0,277.0
259,19.0,278.0
260,19.0,279.0
261,19.0,280.0
262,19.0,281.0
263,19.0,282.0
264,19.0,283.0
265,19.0,284.0
266,19.0,285.0
267,19.0,286.0
268,19.0,287.0
269,19.0,288.0
270,19.0,289.0
271,19.0,290.0
272,19.0,291.0
273,20.0,293.0
274,20.0,294.0
275,20.0,295.0
276,20.0,296.0
277,20.0,297.0
278,20.0,298.0
279,20.0,299.0
280,20.0,300.0
281,20.0,301.0
282,20.0,302.0
283,20.0,303.0
284,20.0,304.0
285,20.0,305.0
286,20.0,306.0
287,20.0,307.0
288,20.0,308.0
289,21.0,310.0
290,21.0,311.0
291,21.0,312.0
292,21.0,313.0
293,21.0,314.0
294,21.0,315.0
295,21.0,316.0
296,21.0,317.0
297,21.0,318.0
298,21.0,319.0
299,21.0,320.0
300,21.0,321.0
301,21.0,322.0
302,21.0,323.0
303,21.0,324.0
304,21.0,325.0
305,22.0,327.0
306,22.0,328.0
307,22.0,329.0
308,22.0,330.0
309,22.0,331.0
310,22.0,332.0
311,22.0,333.0
312,22.0,334.0
313,22.0,335.0
314,22.0,336.0
315,22.0,337.0
316,22.0,338.0
317,22.0,339.0
318,22.0,340.0
319,22.0,341.0
320,22.0,342.0
321,23.0,344.0
322,23.0,345.0
323,23.0,346.0
324,23.0,347.0
325,23.0,348.0
326,23.0,349.0
327,23.0,350.0
328,23.0,351.0
329,23.0,352.0
330,23.0,353.0
331,23.0,354.0
332,23.0,355.0
333,23.0,356.0
334,23.0,357.0
335,23.0,358.0
336,23.0,359.0
337,24.0,361.0
338,24.0,362.0
339,24.0,363.0
340,24.0,364.0
341,24.0,365.0
342,24.0,366.0
343,24.0,367.0
344,24.0,368.0
345,24.0,369.0
346,24.0,370.0
347,24.0,371.0
348,24.0,372.0
349,24.0,373.0
350,24.0,374.0
351,24.0,375.0
352,24.0,376.0
353,25.0,378.0
354,25.0,379.0
355,25.0,380.0
356,25.0,381.0
357,25.0,382.0
358,25.0,383.0
359,25.0,384.0
360,25.0,385.0
361,25.0,386.0
362,25.0,387.0
363,25.0,388.0
364,25.0,389.0
365,25.0,390.0
366,25.0,391.0
367,25.0,392.0
368,25.0,393.0
369,26.0,395.0
370,26.0,396.0
371,26.0,397.0
372,26.0,398.0
373,26.0,399.0
374,26.0,400.0
375,26.0,401.0
376,26.0,402.0
377,26.0,403.0
378,26.0,404.0
379,26.0,405.0
380,26.0,406.0
381,26.0,407.0
382,26.0,408.0
383,26.0,409.0
384,26.0,410.0
385,27.0,412.0
386,27.0,413.0
387,27.0,414.0
388,27.0,415.0
389,27.0,416.0
390,27.0,417.0
391,27.0,418.0
392,27.0,419.0
393,27.0,420.0
394,27.0,421.0
395,27.0,422.0
396,27.0,423.0
397,27.0,424.0
398,27.0,425.0
399,27.0,426.0
400,27.0,427.0
401,28.0,429.0
402,28.0,430.0
403,28.0,431.0
404,28.0,432.0
405,28.0,433.0
406,28.0,434.0
407,28.0,435.0
408,28.0,436.0
409,28.0,437.0
410,28.0,438.0
411,28.0,439.0
412,28.0,440.0
413,28.0,441.0
414,28.0,442.0
415,28.0,443.0
416,28.0,444.0
417,29.0,446.0
418,29.0,447.0
419,29.0,448.0
420,29.0,449.0
421,29.0,450.0
422,29.0,451.0
423,29.0,452.0
424,29.0,453.0
425,29.0,454.0
426,29.0,455.0
427,29.0,456.0
428,29.0,457.0
429,29.0,458.0
430,29.0,459.0
431,29.0,460.0
432,29.0,461.0
