Original Binary String Length,3-RLL and Knuth by blocks Redundancy in bits
0,0.0
1,9.0
2,8.0
3,9.0
4,8.0
5,9.0
6,8.0
7,9.0
8,8.0
9,9.0
10,8.0
11,9.0
12,8.0
13,9.0
14,8.0
15,9.0
16,8.0
17,9.0
18,8.0
19,9.0
20,8.0
21,9.0
22,8.0
23,9.0
24,8.0
25,9.0
26,8.0
27,9.0
28,8.0
29,9.0
30,8.0
31,9.0
32,8.0
33,11.0
34,10.0
35,11.0
36,10.0
37,11.0
38,10.0
39,11.0
40,10.0
41,11.0
42,10.0
43,11.0
44,10.0
45,11.0
46,10.0
47,11.0
48,10.0
49,11.0
50,10.0
51,11.0
52,10.0
53,11.0
54,10.0
55,11.0
56,10.0
57,11.0
58,10.0
59,11.0
60,10.0
61,11.0
62,10.0
63,11.0
64,10.0
65,13.0
66,12.0
67,13.0
68,12.0
69,13.0
70,12.0
71,13.0
72,12.0
73,13.0
74,12.0
75,13.0
76,12.0
77,13.0
78,12.0
79,13.0
80,12.0
81,13.0
82,12.0
83,13.0
84,12.0
85,13.0
86,12.0
87,13.0
88,12.0
89,13.0
90,12.0
91,13.0
92,12.0
93,13.0
94,12.0
95,13.0
96,12.0
97,15.0
98,14.0
99,15.0
100,14.0
101,15.0
102,14.0
103,15.0
104,14.0
105,15.0
106,14.0
107,15.0
108,14.0
109,15.0
110,14.0
111,15.0
112,14.0
113,15.0
114,14.0
115,15.0
116,14.0
117,15.0
118,14.0
119,15.0
120,14.0
121,15.0
122,14.0
123,15.0
124,14.0
125,15.0
126,14.0
127,15.0
128,14.0
129,17.0
130,16.0
131,17.0
132,16.0
133,17.0
134,16.0
135,17.0
136,16.0
137,17.0
138,16.0
139,17.0
140,16.0
141,17.0
142,16.0
143,17.0
144,16.0
145,17.0
146,16.0
147,17.0
148,16.0
149,17.0
150,16.0
151,17.0
152,16.0
153,17.0
154,16.0
155,17.0
156,16.0
157,17.0
158,16.0
159,17.0
160,16.0
161,19.0
162,18.0
163,19.0
164,18.0
165,19.0
166,18.0
167,19.0
168,18.0
169,19.0
170,18.0
171,19.0
172,18.0
173,19.0
174,18.0
175,19.0
176,18.0
177,19.0
178,18.0
179,19.0
180,18.0
181,19.0
182,18.0
183,19.0
184,18.0
185,19.0
186,18.0
187,19.0
188,18.0
189,19.0
190,18.0
191,19.0
192,18.0
193,21.0
194,20.0
195,21.0
196,20.0
197,21.0
198,20.0
199,21.0
200,20.0
201,21.0
202,20.0
203,21.0
204,20.0
205,21.0
206,20.0
207,21.0
208,20.0
209,21.0
210,20.0
211,21.0
212,20.0
213,21.0
214,20.0
215,21.0
216,20.0
217,21.0
218,20.0
219,21.0
220,20.0
221,21.0
222,20.0
223,21.0
224,20.0
225,23.0
226,22.0
227,23.0
228,22.0
229,23.0
230,22.0
231,23.0
232,22.0
233,23.0
234,22.0
235,23.0
236,22.0
237,23.0
238,22.0
239,23.0
240,22.0
241,23.0
242,22.0
243,23.0
244,22.0
245,23.0
246,22.0
247,23.0
248,22.0
249,23.0
250,22.0
251,23.0
252,22.0
253,23.0
254,22.0
255,23.0
256,22.0
257,25.0
258,24.0
259,25.0
260,24.0
261,25.0
262,24.0
263,25.0
264,24.0
265,25.0
266,24.0
267,25.0
268,24.0
269,25.0
270,24.0
271,25.0
272,24.0
273,25.0
274,24.0
275,25.0
276,24.0
277,25.0
278,24.0
279,25.0
280,24.0
281,25.0
282,24.0
283,25.0
284,24.0
285,25.0
286,24.0
287,25.0
288,24.0
289,27.0
290,26.0
291,27.0
292,26.0
293,27.0
294,26.0
295,27.0
296,26.0
297,27.0
298,26.0
299,27.0
