Final Quaternary Strand Length,3-RLL and Knuth by blocks log2 of possible strands
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,2.0
6,4.0
7,6.0
8,8.0
9,10.0
10,12.0
11,14.0
12,16.0
13,18.0
14,20.0
15,22.0
16,24.0
17,26.0
18,28.0
19,30.0
20,32.0
21,32.0
22,34.0
23,36.0
24,38.0
25,40.0
26,42.0
27,44.0
28,46.0
29,48.0
30,50.0
31,52.0
32,54.0
33,56.0
34,58.0
35,60.0
36,62.0
37,64.0
38,64.0
39,66.0
40,68.0
41,70.0
42,72.0
43,74.0
44,76.0
45,78.0
46,80.0
47,82.0
48,84.0
49,86.0
50,88.0
51,90.0
52,92.0
53,94.0
54,96.0
55,96.0
56,98.0
57,100.0
58,102.0
59,104.0
60,106.0
61,108.0
62,110.0
63,112.0
64,114.0
65,116.0
66,118.0
67,120.0
68,122.0
69,124.0
70,126.0
71,128.0
72,128.0
73,130.0
74,132.0
75,134.0
76,136.0
77,138.0
78,140.0
79,142.0
80,144.0
81,146.0
82,148.0
83,150.0
84,152.0
85,154.0
86,156.0
87,158.0
88,160.0
89,160.0
90,162.0
91,164.0
92,166.0
93,168.0
94,170.0
95,172.0
96,174.0
97,176.0
98,178.0
99,180.0
100,182.0
101,184.0
102,186.0
103,188.0
104,190.0
105,192.0
106,192.0
107,194.0
108,196.0
109,198.0
110,200.0
111,202.0
112,204.0
113,206.0
114,208.0
115,210.0
116,212.0
117,214.0
118,216.0
119,218.0
120,220.0
121,222.0
122,224.0
123,224.0
124,226.0
125,228.0
126,230.0
127,232.0
128,234.0
129,236.0
130,238.0
131,240.0
132,242.0
133,244.0
134,246.0
135,248.0
136,250.0
137,252.0
138,254.0
139,256.0
140,256.0
141,258.0
142,260.0
143,262.0
144,264.0
145,266.0
146,268.0
147,270.0
148,272.0
149,274.0
150,276.0
151,278.0
152,280.0
153,282.0
154,284.0
155,286.0
156,288.0
157,288.0
158,290.0
159,292.0
160,294.0
161,296.0
162,298.0
163,300.0
164,302.0
165,304.0
166,306.0
167,308.0
168,310.0
169,312.0
170,314.0
171,316.0
172,318.0
173,320.0
174,320.0
175,322.0
176,324.0
177,326.0
178,328.0
179,330.0
180,332.0
181,334.0
182,336.0
183,338.0
184,340.0
185,342.0
186,344.0
187,346.0
188,348.0
189,350.0
190,352.0
191,352.0
192,354.0
193,356.0
194,358.0
195,360.0
196,362.0
197,364.0
198,366.0
199,368.0
200,372.0
201,374.0
202,376.0
203,378.0
204,380.0
205,382.0
206,384.0
207,384.0
208,386.0
209,388.0
210,390.0
211,392.0
212,394.0
213,396.0
214,398.0
215,400.0
216,402.0
217,404.0
218,406.0
219,408.0
220,410.0
221,412.0
222,414.0
223,416.0
224,416.0
225,418.0
226,420.0
227,422.0
228,424.0
229,426.0
230,428.0
231,430.0
232,432.0
233,434.0
234,436.0
235,438.0
236,440.0
237,442.0
238,444.0
239,446.0
240,448.0
241,448.0
242,450.0
243,452.0
244,454.0
245,456.0
246,458.0
247,460.0
248,462.0
249,464.0
250,466.0
251,468.0
252,470.0
253,472.0
254,474.0
255,476.0
256,478.0
257,480.0
258,480.0
259,482.0
260,484.0
261,486.0
262,488.0
263,490.0
264,492.0
265,494.0
266,496.0
267,498.0
268,500.0
269,502.0
270,504.0
271,506.0
272,508.0
273,510.0
274,512.0
275,512.0
276,514.0
277,516.0
278,518.0
279,520.0
280,522.0
281,524.0
282,526.0
283,528.0
284,530.0
285,532.0
286,534.0
287,536.0
288,538.0
289,540.0
290,542.0
291,544.0
292,544.0
293,546.0
294,548.0
295,550.0
296,552.0
297,554.0
298,556.0
299,558.0
300,560.0
301,562.0
302,564.0
303,566.0
304,568.0
305,570.0
306,572.0
307,574.0
308,576.0
309,576.0
310,578.0
311,580.0
312,582.0
313,584.0
314,586.0
315,588.0
316,590.0
317,592.0
318,594.0
319,596.0
320,598.0
321,600.0
322,602.0
323,604.0
324,606.0
325,608.0
326,608.0
327,610.0
328,612.0
329,614.0
330,616.0
331,618.0
332,620.0
333,622.0
334,624.0
335,626.0
336,628.0
337,630.0
338,632.0
339,634.0
340,636.0
341,638.0
342,640.0
343,640.0
344,642.0
345,644.0
346,646.0
347,648.0
348,650.0
349,652.0
350,654.0
351,656.0
352,658.0
353,660.0
354,662.0
355,664.0
356,666.0
357,668.0
358,670.0
359,672.0
360,672.0
361,674.0
362,676.0
363,678.0
364,680.0
365,682.0
366,684.0
367,686.0
368,688.0
369,690.0
370,692.0
371,694.0
372,696.0
373,698.0
374,700.0
375,702.0
376,704.0
377,704.0
378,706.0
379,708.0
380,710.0
381,712.0
382,714.0
383,716.0
384,718.0
385,720.0
386,722.0
387,724.0
388,726.0
389,728.0
390,730.0
391,732.0
392,734.0
393,736.0
394,736.0
395,738.0
396,740.0
397,742.0
398,744.0
399,746.0
400,748.0
401,750.0
402,752.0
403,754.0
404,756.0
405,758.0
406,760.0
407,762.0
408,764.0
409,766.0
410,768.0
411,768.0
412,770.0
413,772.0
414,774.0
415,776.0
416,778.0
417,780.0
418,782.0
419,784.0
420,786.0
421,788.0
422,790.0
423,792.0
424,794.0
425,796.0
426,798.0
427,800.0
428,800.0
429,802.0
430,804.0
431,806.0
432,808.0
433,810.0
434,812.0
435,814.0
436,816.0
437,818.0
438,820.0
439,822.0
440,824.0
441,826.0
442,828.0
443,830.0
444,832.0
445,832.0
446,834.0
447,836.0
448,838.0
449,840.0
450,842.0
451,844.0
452,846.0
453,848.0
454,850.0
455,852.0
456,854.0
457,856.0
458,858.0
459,860.0
460,862.0
461,864.0
462,864.0
463,866.0
464,868.0
465,870.0
466,872.0
467,874.0
468,876.0
469,878.0
470,880.0
471,882.0
472,884.0
473,886.0
474,888.0
475,890.0
476,892.0
477,894.0
478,896.0
479,896.0
480,898.0
481,900.0
482,902.0
483,904.0
484,906.0
485,908.0
486,910.0
487,912.0
488,914.0
489,916.0
490,918.0
491,920.0
492,922.0
493,924.0
494,926.0
495,928.0
496,928.0
497,930.0
498,932.0
499,934.0
500,936.0
501,938.0
502,940.0
503,942.0
504,944.0
505,946.0
506,948.0
507,950.0
508,952.0
509,954.0
510,956.0
511,958.0
512,960.0
513,960.0
514,962.0
515,964.0
516,966.0
517,968.0
518,970.0
519,972.0
520,974.0
521,976.0
522,978.0
523,980.0
524,982.0
525,984.0
526,986.0
527,988.0
528,990.0
529,992.0
530,992.0
531,994.0
532,996.0
533,998.0
534,1000.0
535,1002.0
536,1004.0
537,1006.0
538,1008.0
539,1010.0
540,1012.0
541,1014.0
542,1016.0
543,1018.0
544,1020.0
545,1022.0
546,1024.0
547,1024.0
548,1026.0
549,1028.0
550,1030.0
551,1032.0
552,1034.0
553,1036.0
554,1038.0
555,1040.0
556,1042.0
557,1044.0
558,1046.0
559,1048.0
560,1050.0
561,1052.0
