Original Binary String Length,3-RLL and Knuth with Skips Redundancy in bits
0,0.0
1,9.0
2,8.0
3,9.0
4,8.0
5,9.0
6,8.0
7,11.0
8,10.0
9,11.0
10,10.0
11,11.0
12,10.0
13,11.0
14,10.0
15,11.0
16,10.0
17,11.0
18,10.0
19,11.0
20,10.0
21,11.0
22,10.0
23,11.0
24,10.0
25,11.0
26,10.0
27,11.0
28,10.0
29,11.0
30,10.0
31,13.0
32,12.0
33,17.0
34,16.0
35,17.0
36,16.0
37,17.0
38,16.0
39,17.0
40,16.0
41,17.0
42,16.0
43,17.0
44,16.0
45,17.0
46,16.0
47,17.0
48,16.0
49,17.0
50,16.0
51,17.0
52,16.0
53,17.0
54,16.0
55,17.0
56,16.0
57,17.0
58,16.0
59,17.0
60,16.0
61,17.0
62,16.0
63,17.0
64,16.0
65,21.0
66,20.0
67,21.0
68,20.0
69,21.0
70,20.0
71,21.0
72,20.0
73,21.0
74,20.0
75,21.0
76,20.0
77,21.0
78,20.0
79,21.0
80,20.0
81,21.0
82,20.0
83,21.0
84,20.0
85,21.0
86,20.0
87,21.0
88,20.0
89,21.0
90,20.0
91,21.0
92,20.0
93,21.0
94,20.0
95,21.0
96,20.0
97,25.0
98,24.0
99,25.0
100,24.0
101,25.0
102,24.0
103,25.0
104,24.0
105,25.0
106,24.0
107,25.0
108,24.0
109,25.0
110,24.0
111,25.0
112,24.0
113,25.0
114,24.0
115,27.0
116,26.0
117,27.0
118,26.0
119,27.0
120,26.0
121,27.0
122,26.0
123,27.0
124,26.0
125,27.0
126,26.0
127,27.0
128,26.0
129,31.0
130,30.0
131,29.0
132,28.0
133,29.0
134,28.0
135,29.0
136,28.0
137,29.0
138,28.0
139,29.0
140,28.0
141,29.0
142,28.0
143,29.0
144,28.0
145,29.0
146,28.0
147,29.0
148,28.0
149,29.0
150,28.0
151,29.0
152,28.0
153,29.0
154,28.0
155,29.0
156,28.0
157,29.0
158,28.0
159,29.0
160,28.0
161,33.0
162,32.0
163,33.0
164,32.0
165,33.0
166,32.0
167,33.0
168,32.0
169,31.0
170,30.0
171,33.0
172,32.0
173,33.0
174,32.0
175,33.0
176,32.0
177,33.0
178,32.0
179,33.0
180,32.0
181,33.0
182,32.0
183,33.0
184,32.0
185,33.0
186,32.0
187,33.0
188,32.0
189,33.0
190,32.0
191,33.0
192,32.0
193,37.0
194,36.0
195,37.0
196,36.0
197,37.0
198,36.0
199,37.0
200,36.0
201,37.0
202,36.0
203,37.0
204,36.0
205,35.0
206,34.0
207,35.0
208,34.0
209,35.0
210,34.0
211,35.0
212,34.0
213,35.0
214,34.0
215,35.0
216,34.0
217,35.0
218,34.0
219,35.0
220,34.0
221,35.0
222,34.0
223,35.0
224,34.0
225,39.0
226,38.0
227,41.0
228,40.0
229,41.0
230,40.0
231,41.0
232,40.0
233,41.0
234,40.0
235,41.0
236,40.0
237,41.0
238,40.0
239,41.0
240,40.0
241,39.0
242,38.0
243,39.0
244,38.0
245,39.0
246,38.0
247,39.0
248,38.0
249,39.0
250,38.0
251,39.0
252,38.0
253,39.0
254,38.0
255,39.0
256,38.0
257,43.0
258,42.0
259,43.0
260,42.0
261,43.0
262,42.0
263,43.0
264,42.0
265,43.0
266,42.0
267,43.0
268,42.0
269,43.0
270,42.0
271,43.0
272,42.0
273,43.0
274,42.0
275,43.0
276,42.0
277,43.0
278,42.0
279,43.0
280,42.0
281,43.0
282,42.0
283,43.0
284,42.0
285,43.0
286,42.0
287,43.0
288,42.0
289,47.0
290,46.0
291,47.0
292,46.0
293,47.0
294,46.0
295,47.0
296,46.0
297,47.0
298,46.0
299,47.0
