Original Quaternary String Length,Quaternary Redundancy,Final Quaternary String Length
0,0.0,0.0
1,4.0,5.0
2,4.0,6.0
3,4.0,7.0
4,5.0,9.0
5,5.0,10.0
6,5.0,11.0
7,5.0,12.0
8,5.0,13.0
9,5.0,14.0
10,5.0,15.0
11,5.0,16.0
12,5.0,17.0
13,5.0,18.0
14,5.0,19.0
15,5.0,20.0
16,6.0,22.0
17,8.0,25.0
18,8.0,26.0
19,8.0,27.0
20,8.0,28.0
21,8.0,29.0
22,8.0,30.0
23,8.0,31.0
24,8.0,32.0
25,8.0,33.0
26,8.0,34.0
27,8.0,35.0
28,8.0,36.0
29,8.0,37.0
30,8.0,38.0
31,8.0,39.0
32,8.0,40.0
33,10.0,43.0
34,10.0,44.0
35,10.0,45.0
36,10.0,46.0
37,10.0,47.0
38,10.0,48.0
39,10.0,49.0
40,10.0,50.0
41,10.0,51.0
42,10.0,52.0
43,10.0,53.0
44,10.0,54.0
45,10.0,55.0
46,10.0,56.0
47,10.0,57.0
48,10.0,58.0
49,12.0,61.0
50,12.0,62.0
51,12.0,63.0
52,12.0,64.0
53,12.0,65.0
54,12.0,66.0
55,12.0,67.0
56,12.0,68.0
57,12.0,69.0
58,13.0,71.0
59,13.0,72.0
60,13.0,73.0
61,13.0,74.0
62,13.0,75.0
63,13.0,76.0
64,13.0,77.0
65,15.0,80.0
66,14.0,80.0
67,14.0,81.0
68,14.0,82.0
69,14.0,83.0
70,14.0,84.0
71,14.0,85.0
72,14.0,86.0
73,14.0,87.0
74,14.0,88.0
75,14.0,89.0
76,14.0,90.0
77,14.0,91.0
78,14.0,92.0
79,14.0,93.0
80,14.0,94.0
81,16.0,97.0
82,16.0,98.0
83,16.0,99.0
84,16.0,100.0
85,15.0,100.0
86,16.0,102.0
87,16.0,103.0
88,16.0,104.0
89,16.0,105.0
90,16.0,106.0
91,16.0,107.0
92,16.0,108.0
93,16.0,109.0
94,16.0,110.0
95,16.0,111.0
96,16.0,112.0
97,18.0,115.0
98,18.0,116.0
99,18.0,117.0
100,18.0,118.0
101,18.0,119.0
102,18.0,120.0
103,17.0,120.0
104,17.0,121.0
105,17.0,122.0
106,17.0,123.0
107,17.0,124.0
108,17.0,125.0
109,17.0,126.0
110,17.0,127.0
111,17.0,128.0
112,17.0,129.0
113,19.0,132.0
114,20.0,134.0
115,20.0,135.0
116,20.0,136.0
117,20.0,137.0
118,20.0,138.0
119,20.0,139.0
120,20.0,140.0
121,19.0,140.0
122,19.0,141.0
123,19.0,142.0
124,19.0,143.0
125,19.0,144.0
126,19.0,145.0
127,19.0,146.0
128,19.0,147.0
129,21.0,150.0
130,21.0,151.0
131,21.0,152.0
132,21.0,153.0
133,21.0,154.0
134,21.0,155.0
135,21.0,156.0
136,21.0,157.0
137,21.0,158.0
138,21.0,159.0
139,21.0,160.0
140,21.0,161.0
141,21.0,162.0
142,21.0,163.0
143,21.0,164.0
144,21.0,165.0
145,23.0,168.0
146,23.0,169.0
147,23.0,170.0
148,23.0,171.0
149,23.0,172.0
150,23.0,173.0
151,23.0,174.0
152,23.0,175.0
153,23.0,176.0
154,23.0,177.0
155,23.0,178.0
156,23.0,179.0
157,23.0,180.0
158,23.0,181.0
159,23.0,182.0
160,23.0,183.0
161,25.0,186.0
162,25.0,187.0
163,25.0,188.0
164,25.0,189.0
165,25.0,190.0
166,25.0,191.0
167,25.0,192.0
168,25.0,193.0
169,25.0,194.0
170,25.0,195.0
171,25.0,196.0
172,25.0,197.0
173,25.0,198.0
174,25.0,199.0
175,25.0,200.0
176,25.0,201.0
177,27.0,204.0
178,27.0,205.0
179,27.0,206.0
180,27.0,207.0
181,27.0,208.0
182,27.0,209.0
183,27.0,210.0
184,27.0,211.0
185,27.0,212.0
186,27.0,213.0
187,27.0,214.0
188,27.0,215.0
189,27.0,216.0
190,27.0,217.0
191,27.0,218.0
192,27.0,219.0
193,29.0,222.0
194,29.0,223.0
195,29.0,224.0
196,29.0,225.0
197,29.0,226.0
198,29.0,227.0
199,29.0,228.0
200,29.0,229.0
201,29.0,230.0
202,29.0,231.0
203,29.0,232.0
204,29.0,233.0
205,29.0,234.0
206,29.0,235.0
207,29.0,236.0
208,29.0,237.0
209,31.0,240.0
210,31.0,241.0
211,31.0,242.0
212,31.0,243.0
213,31.0,244.0
214,31.0,245.0
215,31.0,246.0
216,31.0,247.0
217,31.0,248.0
218,31.0,249.0
219,31.0,250.0
220,31.0,251.0
221,31.0,252.0
222,31.0,253.0
223,31.0,254.0
224,31.0,255.0
225,33.0,258.0
226,33.0,259.0
227,33.0,260.0
228,33.0,261.0
229,33.0,262.0
230,33.0,263.0
231,33.0,264.0
232,33.0,265.0
233,33.0,266.0
234,33.0,267.0
235,33.0,268.0
236,33.0,269.0
237,33.0,270.0
238,33.0,271.0
239,33.0,272.0
240,33.0,273.0
241,35.0,276.0
242,35.0,277.0
243,35.0,278.0
244,35.0,279.0
245,35.0,280.0
246,35.0,281.0
247,35.0,282.0
248,35.0,283.0
249,35.0,284.0
250,35.0,285.0
251,35.0,286.0
252,35.0,287.0
253,35.0,288.0
254,35.0,289.0
255,35.0,290.0
256,35.0,291.0
257,37.0,294.0
258,37.0,295.0
259,37.0,296.0
260,37.0,297.0
261,37.0,298.0
262,37.0,299.0
263,37.0,300.0
264,37.0,301.0
265,37.0,302.0
266,37.0,303.0
267,37.0,304.0
268,37.0,305.0
269,37.0,306.0
270,37.0,307.0
271,37.0,308.0
272,37.0,309.0
273,39.0,312.0
274,39.0,313.0
275,39.0,314.0
276,39.0,315.0
277,39.0,316.0
278,39.0,317.0
279,39.0,318.0
280,39.0,319.0
281,39.0,320.0
282,39.0,321.0
283,39.0,322.0
284,39.0,323.0
285,39.0,324.0
286,39.0,325.0
287,39.0,326.0
288,39.0,327.0
289,41.0,330.0
290,41.0,331.0
291,41.0,332.0
292,41.0,333.0
293,41.0,334.0
294,41.0,335.0
295,41.0,336.0
296,41.0,337.0
297,41.0,338.0
298,41.0,339.0
299,41.0,340.0
300,41.0,341.0
301,41.0,342.0
302,41.0,343.0
303,41.0,344.0
304,41.0,345.0
305,43.0,348.0
306,43.0,349.0
307,43.0,350.0
308,43.0,351.0
309,43.0,352.0
310,43.0,353.0
311,43.0,354.0
312,43.0,355.0
313,43.0,356.0
314,43.0,357.0
315,43.0,358.0
316,43.0,359.0
317,43.0,360.0
318,43.0,361.0
319,43.0,362.0
320,43.0,363.0
321,45.0,366.0
322,45.0,367.0
323,45.0,368.0
324,45.0,369.0
325,45.0,370.0
326,45.0,371.0
327,45.0,372.0
328,45.0,373.0
329,45.0,374.0
330,45.0,375.0
331,45.0,376.0
332,45.0,377.0
333,45.0,378.0
334,45.0,379.0
335,45.0,380.0
336,45.0,381.0
337,47.0,384.0
338,47.0,385.0
339,47.0,386.0
340,47.0,387.0
341,47.0,388.0
342,47.0,389.0
343,47.0,390.0
344,47.0,391.0
345,47.0,392.0
346,47.0,393.0
347,47.0,394.0
348,47.0,395.0
349,47.0,396.0
350,47.0,397.0
351,47.0,398.0
352,47.0,399.0
353,49.0,402.0
354,49.0,403.0
355,49.0,404.0
356,49.0,405.0
357,49.0,406.0
358,49.0,407.0
359,49.0,408.0
360,49.0,409.0
361,49.0,410.0
362,49.0,411.0
363,49.0,412.0
364,49.0,413.0
365,49.0,414.0
366,49.0,415.0
367,49.0,416.0
368,49.0,417.0
369,51.0,420.0
370,51.0,421.0
371,51.0,422.0
372,51.0,423.0
373,51.0,424.0
374,51.0,425.0
375,51.0,426.0
376,51.0,427.0
377,51.0,428.0
378,51.0,429.0
379,51.0,430.0
380,51.0,431.0
381,51.0,432.0
382,51.0,433.0
383,51.0,434.0
384,51.0,435.0
385,53.0,438.0
386,53.0,439.0
387,53.0,440.0
388,53.0,441.0
389,53.0,442.0
390,53.0,443.0
391,53.0,444.0
392,53.0,445.0
393,53.0,446.0
394,53.0,447.0
395,53.0,448.0
396,53.0,449.0
397,53.0,450.0
398,53.0,451.0
399,53.0,452.0
400,53.0,453.0
401,55.0,456.0
402,55.0,457.0
403,55.0,458.0
404,55.0,459.0
405,55.0,460.0
406,55.0,461.0
407,55.0,462.0
408,55.0,463.0
409,55.0,464.0
410,55.0,465.0
411,55.0,466.0
412,55.0,467.0
413,55.0,468.0
414,55.0,469.0
415,55.0,470.0
416,55.0,471.0
417,57.0,474.0
418,57.0,475.0
419,57.0,476.0
420,57.0,477.0
421,57.0,478.0
422,57.0,479.0
423,57.0,480.0
424,57.0,481.0
425,57.0,482.0
426,57.0,483.0
427,57.0,484.0
428,57.0,485.0
429,57.0,486.0
430,57.0,487.0
431,57.0,488.0
432,57.0,489.0
