Final Quaternary Strand Length,3-RLL and Knuth log2 of possible strands
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,2.0
6,4.0
7,6.0
8,6.0
9,8.0
10,10.0
11,12.0
12,14.0
13,16.0
14,18.0
15,20.0
16,22.0
17,24.0
18,26.0
19,28.0
20,30.0
21,30.0
22,32.0
23,32.0
24,32.0
25,34.0
26,36.0
27,38.0
28,40.0
29,42.0
30,44.0
31,46.0
32,48.0
33,50.0
34,52.0
35,54.0
36,56.0
37,58.0
38,60.0
39,62.0
40,64.0
41,64.0
42,64.0
43,66.0
44,68.0
45,70.0
46,72.0
47,74.0
48,76.0
49,78.0
50,80.0
51,82.0
52,84.0
53,86.0
54,88.0
55,90.0
56,92.0
57,94.0
58,96.0
59,96.0
60,96.0
61,98.0
62,100.0
63,102.0
64,104.0
65,106.0
66,108.0
67,110.0
68,112.0
69,114.0
70,114.0
71,116.0
72,118.0
73,120.0
74,122.0
75,124.0
76,126.0
77,128.0
78,128.0
79,128.0
80,130.0
81,132.0
82,134.0
83,136.0
84,138.0
85,140.0
86,142.0
87,144.0
88,146.0
89,148.0
90,150.0
91,152.0
92,154.0
93,156.0
94,158.0
95,160.0
96,160.0
97,160.0
98,162.0
99,164.0
100,166.0
101,168.0
102,170.0
103,172.0
104,174.0
105,176.0
106,178.0
107,180.0
108,182.0
109,184.0
110,186.0
111,188.0
112,190.0
113,192.0
114,192.0
115,192.0
116,194.0
117,196.0
118,198.0
119,200.0
120,202.0
121,204.0
122,206.0
123,208.0
124,210.0
125,212.0
126,214.0
127,216.0
128,218.0
129,220.0
130,222.0
131,224.0
132,224.0
133,224.0
134,226.0
135,228.0
136,230.0
137,232.0
138,234.0
139,236.0
140,238.0
141,240.0
142,242.0
143,244.0
144,246.0
145,248.0
146,250.0
147,252.0
148,254.0
149,256.0
150,256.0
151,256.0
152,258.0
153,260.0
154,262.0
155,264.0
156,266.0
157,268.0
158,270.0
159,272.0
160,274.0
161,276.0
162,278.0
163,280.0
164,282.0
165,284.0
166,286.0
167,288.0
168,288.0
169,288.0
170,290.0
171,292.0
172,294.0
173,296.0
174,298.0
175,300.0
176,302.0
177,304.0
178,306.0
179,308.0
180,310.0
181,312.0
182,314.0
183,316.0
184,318.0
185,320.0
186,320.0
187,320.0
188,322.0
189,324.0
190,326.0
191,328.0
192,330.0
193,332.0
194,334.0
195,336.0
196,338.0
197,340.0
198,342.0
199,344.0
200,346.0
201,348.0
202,350.0
203,352.0
204,352.0
205,352.0
206,354.0
207,356.0
208,358.0
209,360.0
210,362.0
211,364.0
212,366.0
213,368.0
214,370.0
215,372.0
216,374.0
217,376.0
218,378.0
219,380.0
220,382.0
221,384.0
222,384.0
223,384.0
224,386.0
225,388.0
226,390.0
227,392.0
228,394.0
229,396.0
230,398.0
231,400.0
232,402.0
233,404.0
234,406.0
235,408.0
236,410.0
237,412.0
238,414.0
239,416.0
240,416.0
241,416.0
242,418.0
243,420.0
244,422.0
245,424.0
246,426.0
247,428.0
248,430.0
249,432.0
250,434.0
251,436.0
252,438.0
253,440.0
254,442.0
255,444.0
256,446.0
257,448.0
258,448.0
259,448.0
260,448.0
261,450.0
262,452.0
263,454.0
264,456.0
265,458.0
266,460.0
267,462.0
268,464.0
269,466.0
270,468.0
271,470.0
272,472.0
273,474.0
274,476.0
275,478.0
276,480.0
277,480.0
278,480.0
279,482.0
280,484.0
281,486.0
282,488.0
283,490.0
284,492.0
285,494.0
286,496.0
287,498.0
288,500.0
289,502.0
290,504.0
291,506.0
292,508.0
293,510.0
294,512.0
295,512.0
296,512.0
297,514.0
298,516.0
299,518.0
300,520.0
301,522.0
302,524.0
303,526.0
304,528.0
305,530.0
306,532.0
307,534.0
308,536.0
309,538.0
310,540.0
311,542.0
312,544.0
313,544.0
314,544.0
315,546.0
316,548.0
317,550.0
318,552.0
319,554.0
320,556.0
321,558.0
322,560.0
323,562.0
324,564.0
325,566.0
326,568.0
327,570.0
328,572.0
329,574.0
330,576.0
331,576.0
332,576.0
333,578.0
334,580.0
335,582.0
336,584.0
337,586.0
338,588.0
339,590.0
340,592.0
341,594.0
342,596.0
343,598.0
344,600.0
345,602.0
346,604.0
347,606.0
348,608.0
349,608.0
350,608.0
351,610.0
352,612.0
353,614.0
354,616.0
355,618.0
356,620.0
357,622.0
358,624.0
359,626.0
360,628.0
361,630.0
362,632.0
363,634.0
364,636.0
365,638.0
366,640.0
367,640.0
368,640.0
369,642.0
370,644.0
371,646.0
372,648.0
373,650.0
374,652.0
375,654.0
376,656.0
377,658.0
378,660.0
379,662.0
380,664.0
381,666.0
382,668.0
383,670.0
384,672.0
385,672.0
386,672.0
387,674.0
388,676.0
389,678.0
390,680.0
391,682.0
392,684.0
393,686.0
394,688.0
395,690.0
396,692.0
397,694.0
398,696.0
399,698.0
400,700.0
401,702.0
402,704.0
403,704.0
404,704.0
405,706.0
406,708.0
407,710.0
408,712.0
409,714.0
410,716.0
411,718.0
412,720.0
413,722.0
414,724.0
415,726.0
416,728.0
417,730.0
418,732.0
419,734.0
420,736.0
421,736.0
422,736.0
423,738.0
424,740.0
425,742.0
426,744.0
427,746.0
428,748.0
429,750.0
430,752.0
431,754.0
432,756.0
433,758.0
434,760.0
435,762.0
436,764.0
437,766.0
438,768.0
439,768.0
440,768.0
441,770.0
442,772.0
443,774.0
444,776.0
445,778.0
446,780.0
447,782.0
448,784.0
449,786.0
450,788.0
451,790.0
452,792.0
453,794.0
454,796.0
455,798.0
456,800.0
457,800.0
458,800.0
459,802.0
460,804.0
461,806.0
462,808.0
463,810.0
464,812.0
465,814.0
466,816.0
467,818.0
468,820.0
469,822.0
470,824.0
471,826.0
472,828.0
473,830.0
474,832.0
475,832.0
476,832.0
477,834.0
478,836.0
479,838.0
480,840.0
481,842.0
482,844.0
483,846.0
484,848.0
485,850.0
486,852.0
487,854.0
488,856.0
489,858.0
490,860.0
491,862.0
492,864.0
493,864.0
494,864.0
495,866.0
496,868.0
497,870.0
498,872.0
499,874.0
500,876.0
501,878.0
502,880.0
503,882.0
504,884.0
505,886.0
506,888.0
507,890.0
508,892.0
509,894.0
510,896.0
511,896.0
512,896.0
513,898.0
514,900.0
515,902.0
516,904.0
517,906.0
518,908.0
519,910.0
520,912.0
521,914.0
522,916.0
523,918.0
524,920.0
525,922.0
526,924.0
527,926.0
528,928.0
529,928.0
530,928.0
531,930.0
532,932.0
533,934.0
534,936.0
535,938.0
536,940.0
537,942.0
538,944.0
539,946.0
540,948.0
541,950.0
542,952.0
543,954.0
544,956.0
545,958.0
546,960.0
547,960.0
548,960.0
549,962.0
550,964.0
551,966.0
552,968.0
553,970.0
554,972.0
555,974.0
556,976.0
557,978.0
558,980.0
559,982.0
560,984.0
561,986.0
562,988.0
563,990.0
564,992.0
565,992.0
566,992.0
567,994.0
