Final Quaternary Strand Length,6-RLL with encodings and Knuth log2 of possible strands
0,0.0
1,158.0
2,158.0
3,158.0
4,158.0
5,158.0
6,158.0
7,158.0
8,158.0
9,158.0
10,158.0
11,158.0
12,158.0
13,158.0
14,158.0
15,158.0
16,158.0
17,158.0
18,158.0
19,158.0
20,158.0
21,158.0
22,158.0
23,158.0
24,158.0
25,158.0
26,158.0
27,158.0
28,158.0
29,158.0
30,158.0
31,158.0
32,158.0
33,158.0
34,158.0
35,158.0
36,158.0
37,158.0
38,158.0
39,158.0
40,158.0
41,158.0
42,158.0
43,158.0
44,158.0
45,158.0
46,158.0
47,158.0
48,158.0
49,158.0
50,158.0
51,158.0
52,158.0
53,158.0
54,158.0
55,158.0
56,158.0
57,158.0
58,158.0
59,158.0
60,158.0
61,158.0
62,158.0
63,158.0
64,158.0
65,158.0
66,158.0
67,158.0
68,158.0
69,158.0
70,158.0
71,158.0
72,158.0
73,158.0
74,158.0
75,158.0
76,158.0
77,158.0
78,158.0
79,158.0
80,158.0
81,158.0
82,158.0
83,158.0
84,158.0
85,158.0
86,158.0
87,158.0
88,158.0
89,158.0
90,158.0
91,158.0
92,158.0
93,158.0
94,158.0
95,158.0
96,160.0
97,162.0
98,164.0
99,164.0
100,168.0
101,168.0
102,170.0
103,172.0
104,174.0
105,174.0
106,178.0
107,178.0
108,180.0
109,182.0
110,184.0
111,186.0
112,188.0
113,190.0
114,192.0
115,194.0
116,196.0
117,196.0
118,198.0
119,200.0
120,204.0
121,206.0
122,206.0
123,208.0
124,210.0
125,212.0
126,214.0
127,216.0
128,216.0
129,220.0
130,220.0
131,222.0
132,224.0
133,224.0
134,226.0
135,228.0
136,230.0
137,232.0
138,234.0
139,236.0
140,238.0
141,240.0
142,242.0
143,244.0
144,246.0
145,248.0
146,248.0
147,250.0
148,252.0
149,254.0
150,256.0
151,258.0
152,258.0
153,262.0
154,262.0
155,264.0
156,266.0
157,268.0
158,270.0
159,272.0
160,274.0
161,276.0
162,278.0
163,280.0
164,280.0
165,282.0
166,284.0
167,286.0
168,288.0
169,290.0
170,290.0
171,292.0
172,294.0
173,296.0
174,298.0
175,300.0
176,300.0
177,304.0
178,304.0
179,306.0
180,308.0
181,310.0
182,312.0
183,314.0
184,316.0
185,318.0
186,320.0
187,322.0
188,322.0
189,324.0
190,326.0
191,328.0
192,330.0
193,332.0
194,332.0
195,334.0
196,336.0
197,338.0
198,340.0
199,342.0
200,342.0
201,346.0
202,346.0
203,348.0
204,350.0
205,352.0
206,354.0
207,356.0
208,358.0
209,360.0
210,362.0
211,364.0
212,364.0
213,366.0
214,368.0
215,370.0
216,372.0
217,374.0
218,374.0
219,376.0
220,378.0
221,380.0
222,382.0
223,384.0
224,384.0
225,388.0
226,388.0
227,390.0
228,392.0
229,394.0
230,396.0
231,398.0
232,400.0
233,402.0
234,404.0
235,406.0
236,406.0
237,408.0
238,410.0
239,412.0
240,414.0
241,416.0
242,416.0
243,418.0
244,420.0
245,422.0
246,424.0
247,426.0
248,426.0
249,430.0
250,430.0
251,432.0
252,434.0
253,436.0
254,438.0
255,440.0
256,442.0
257,444.0
258,446.0
259,448.0
260,448.0
261,450.0
262,452.0
263,454.0
264,456.0
265,458.0
266,458.0
267,460.0
268,462.0
269,464.0
270,466.0
271,468.0
272,468.0
273,472.0
274,472.0
275,474.0
276,476.0
277,478.0
278,480.0
279,482.0
280,484.0
281,486.0
282,488.0
283,490.0
284,490.0
285,492.0
286,494.0
287,496.0
288,498.0
289,500.0
290,500.0
291,502.0
292,504.0
293,506.0
294,508.0
295,510.0
296,510.0
297,514.0
298,514.0
299,516.0
300,518.0
301,520.0
302,522.0
303,524.0
304,526.0
305,528.0
306,530.0
307,532.0
308,532.0
309,534.0
310,536.0
311,538.0
312,540.0
313,542.0
314,542.0
315,544.0
316,546.0
317,548.0
318,550.0
319,552.0
320,552.0
321,556.0
322,556.0
323,558.0
324,560.0
325,562.0
326,564.0
327,566.0
328,568.0
329,570.0
330,572.0
331,574.0
332,574.0
333,576.0
334,578.0
335,580.0
336,582.0
337,584.0
338,584.0
339,586.0
340,588.0
341,590.0
342,592.0
343,594.0
344,594.0
345,598.0
346,598.0
347,600.0
348,602.0
349,604.0
350,606.0
351,608.0
352,610.0
353,612.0
354,614.0
355,616.0
356,616.0
357,618.0
358,620.0
359,622.0
360,624.0
361,626.0
362,626.0
363,628.0
364,630.0
365,632.0
366,634.0
367,636.0
368,636.0
369,640.0
370,640.0
371,642.0
372,644.0
373,646.0
374,648.0
375,650.0
376,652.0
377,654.0
378,656.0
379,658.0
380,658.0
381,660.0
382,662.0
383,664.0
384,666.0
385,668.0
386,668.0
387,670.0
388,672.0
389,674.0
390,676.0
391,678.0
392,678.0
393,682.0
394,682.0
395,684.0
396,686.0
397,688.0
398,690.0
399,692.0
400,694.0
401,696.0
402,698.0
403,700.0
404,700.0
405,702.0
406,704.0
407,706.0
408,708.0
409,710.0
410,710.0
411,712.0
412,714.0
413,716.0
414,718.0
415,720.0
416,720.0
417,724.0
418,724.0
419,726.0
420,728.0
421,730.0
422,732.0
423,734.0
424,736.0
425,738.0
426,740.0
427,742.0
428,742.0
429,744.0
430,746.0
431,748.0
432,750.0
433,752.0
434,752.0
435,754.0
436,756.0
437,758.0
438,760.0
439,762.0
440,762.0
441,766.0
442,766.0
443,768.0
444,770.0
445,772.0
446,774.0
447,776.0
448,778.0
449,780.0
450,782.0
451,784.0
452,784.0
453,786.0
454,788.0
455,790.0
456,792.0
457,794.0
