Original Binary String Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
0,0.0,0.0,0.0,0.0
1,9.0,9.0,9.0,-1.0
2,8.0,8.0,8.0,-2.0
3,9.0,9.0,9.0,-3.0
4,8.0,8.0,8.0,-4.0
5,9.0,9.0,9.0,-5.0
6,8.0,8.0,8.0,-6.0
7,11.0,11.0,9.0,-7.0
8,10.0,10.0,8.0,-8.0
9,11.0,11.0,9.0,-9.0
10,10.0,10.0,8.0,-10.0
11,11.0,11.0,9.0,-11.0
12,10.0,10.0,8.0,-12.0
13,11.0,11.0,9.0,-13.0
14,10.0,10.0,8.0,-14.0
15,11.0,11.0,9.0,-15.0
16,10.0,10.0,8.0,-16.0
17,11.0,11.0,9.0,-17.0
18,10.0,10.0,8.0,-18.0
19,11.0,11.0,9.0,-19.0
20,10.0,10.0,8.0,-20.0
21,11.0,11.0,9.0,-21.0
22,10.0,10.0,8.0,-22.0
23,11.0,11.0,9.0,-23.0
24,10.0,10.0,8.0,-24.0
25,11.0,11.0,9.0,-25.0
26,10.0,10.0,8.0,-26.0
27,11.0,11.0,9.0,-27.0
28,10.0,10.0,8.0,-28.0
29,11.0,11.0,9.0,-29.0
30,10.0,10.0,8.0,-30.0
31,13.0,13.0,9.0,-31.0
32,12.0,12.0,8.0,-32.0
33,17.0,17.0,11.0,-33.0
34,16.0,16.0,10.0,-34.0
35,17.0,17.0,11.0,-35.0
36,16.0,16.0,10.0,-36.0
37,17.0,17.0,11.0,-37.0
38,16.0,16.0,10.0,-38.0
39,17.0,17.0,11.0,-39.0
40,16.0,16.0,10.0,-40.0
41,17.0,17.0,11.0,-41.0
42,16.0,16.0,10.0,-42.0
43,17.0,17.0,11.0,-43.0
44,16.0,16.0,10.0,-44.0
45,17.0,17.0,11.0,-45.0
46,16.0,16.0,10.0,-46.0
47,17.0,17.0,11.0,-47.0
48,16.0,16.0,10.0,-48.0
49,17.0,17.0,11.0,-49.0
50,16.0,16.0,10.0,-50.0
51,17.0,17.0,11.0,-51.0
52,16.0,16.0,10.0,-52.0
53,17.0,17.0,11.0,-53.0
54,16.0,16.0,10.0,-54.0
55,17.0,17.0,11.0,-55.0
56,16.0,16.0,10.0,-56.0
57,17.0,17.0,11.0,-57.0
58,16.0,16.0,10.0,-58.0
59,17.0,17.0,11.0,-59.0
60,16.0,16.0,10.0,-60.0
61,17.0,17.0,11.0,-61.0
62,16.0,16.0,10.0,-62.0
63,17.0,17.0,11.0,-63.0
64,16.0,16.0,10.0,-64.0
65,21.0,21.0,13.0,-65.0
66,20.0,20.0,12.0,-66.0
67,21.0,21.0,13.0,-67.0
68,20.0,20.0,12.0,-68.0
69,21.0,21.0,13.0,-69.0
70,20.0,20.0,12.0,-70.0
71,21.0,21.0,13.0,-71.0
72,20.0,20.0,12.0,-72.0
73,21.0,21.0,13.0,-73.0
74,20.0,20.0,12.0,-74.0
75,21.0,21.0,13.0,-75.0
76,20.0,20.0,12.0,-76.0
77,21.0,21.0,13.0,-77.0
78,20.0,20.0,12.0,-78.0
79,21.0,21.0,13.0,-79.0
80,20.0,20.0,12.0,-80.0
81,21.0,21.0,13.0,-81.0
82,20.0,20.0,12.0,-82.0
83,21.0,21.0,13.0,-83.0
84,20.0,20.0,12.0,-84.0
85,21.0,21.0,13.0,-85.0
86,20.0,20.0,12.0,-86.0
87,21.0,21.0,13.0,-87.0
88,20.0,20.0,12.0,-88.0
89,21.0,21.0,13.0,-89.0
90,20.0,20.0,12.0,-90.0
91,21.0,21.0,13.0,-91.0
92,20.0,20.0,12.0,-92.0
93,21.0,21.0,13.0,-93.0
94,20.0,20.0,12.0,-94.0
95,21.0,21.0,13.0,-95.0
96,20.0,20.0,12.0,-96.0
97,25.0,25.0,15.0,-97.0
98,24.0,24.0,14.0,-98.0
99,25.0,25.0,15.0,-99.0
100,24.0,24.0,14.0,-100.0
101,25.0,25.0,15.0,-101.0
102,24.0,24.0,14.0,-102.0
103,25.0,25.0,15.0,-103.0
104,24.0,24.0,14.0,-104.0
105,25.0,25.0,15.0,-105.0
106,24.0,24.0,14.0,-106.0
107,25.0,25.0,15.0,-107.0
108,24.0,24.0,14.0,-108.0
109,25.0,25.0,15.0,-109.0
110,24.0,24.0,14.0,-110.0
111,25.0,25.0,15.0,-111.0
112,24.0,24.0,14.0,-112.0
113,25.0,25.0,15.0,-113.0
114,24.0,24.0,14.0,-114.0
115,27.0,27.0,15.0,-115.0
116,26.0,26.0,14.0,-116.0
117,27.0,27.0,15.0,-117.0
118,26.0,26.0,14.0,-118.0
119,27.0,27.0,15.0,-119.0
120,26.0,26.0,14.0,-120.0
121,27.0,27.0,15.0,-121.0
122,26.0,26.0,14.0,-122.0
123,27.0,27.0,15.0,-123.0
124,26.0,26.0,14.0,-124.0
125,27.0,27.0,15.0,-125.0
126,26.0,26.0,14.0,-126.0
127,27.0,27.0,15.0,-127.0
128,26.0,26.0,14.0,-128.0
129,31.0,31.0,17.0,-129.0
130,30.0,30.0,16.0,-130.0
131,31.0,29.0,17.0,-131.0
132,30.0,28.0,16.0,-132.0
133,31.0,29.0,17.0,-133.0
134,30.0,28.0,16.0,-134.0
135,31.0,29.0,17.0,-135.0
136,30.0,28.0,16.0,-136.0
137,31.0,29.0,17.0,-137.0
138,30.0,28.0,16.0,-138.0
139,31.0,29.0,17.0,-139.0
140,30.0,28.0,16.0,-140.0
141,31.0,29.0,17.0,-141.0
142,30.0,28.0,16.0,-142.0
143,31.0,29.0,17.0,-143.0
144,30.0,28.0,16.0,-144.0
145,31.0,29.0,17.0,-145.0
146,30.0,28.0,16.0,-146.0
147,31.0,29.0,17.0,-147.0
148,30.0,28.0,16.0,-148.0
149,31.0,29.0,17.0,-149.0
150,30.0,28.0,16.0,-150.0
151,31.0,29.0,17.0,-151.0
152,30.0,28.0,16.0,-152.0
153,31.0,29.0,17.0,-153.0
154,30.0,28.0,16.0,-154.0
155,31.0,29.0,17.0,-155.0
156,30.0,28.0,16.0,-156.0
157,31.0,29.0,17.0,-157.0
158,30.0,28.0,16.0,-158.0
159,31.0,29.0,17.0,33.0
160,30.0,28.0,16.0,32.0
161,35.0,33.0,19.0,33.0
162,34.0,32.0,18.0,32.0
163,35.0,33.0,19.0,33.0
164,34.0,32.0,18.0,32.0
165,35.0,33.0,19.0,35.0
166,34.0,32.0,18.0,34.0
167,35.0,33.0,19.0,33.0
168,34.0,32.0,18.0,32.0
169,35.0,31.0,19.0,35.0
170,34.0,30.0,18.0,34.0
171,35.0,33.0,19.0,35.0
172,34.0,32.0,18.0,34.0
173,35.0,33.0,19.0,35.0
174,34.0,32.0,18.0,34.0
175,35.0,33.0,19.0,37.0
176,34.0,32.0,18.0,36.0
177,35.0,33.0,19.0,35.0
178,34.0,32.0,18.0,34.0
179,35.0,33.0,19.0,37.0
180,34.0,32.0,18.0,36.0
181,35.0,33.0,19.0,37.0
182,34.0,32.0,18.0,36.0
183,35.0,33.0,19.0,37.0
184,34.0,32.0,18.0,36.0
185,35.0,33.0,19.0,37.0
186,34.0,32.0,18.0,36.0
187,35.0,33.0,19.0,37.0
188,34.0,32.0,18.0,36.0
189,35.0,33.0,19.0,37.0
190,34.0,32.0,18.0,36.0
191,35.0,33.0,19.0,37.0
192,34.0,32.0,18.0,36.0
193,39.0,37.0,21.0,37.0
194,38.0,36.0,20.0,36.0
195,39.0,37.0,21.0,37.0
196,38.0,36.0,20.0,36.0
197,39.0,37.0,21.0,39.0
198,38.0,36.0,20.0,38.0
199,39.0,37.0,21.0,39.0
200,38.0,36.0,20.0,38.0
201,39.0,37.0,21.0,39.0
202,38.0,36.0,20.0,38.0
203,39.0,37.0,21.0,37.0
204,38.0,36.0,20.0,36.0
205,39.0,35.0,21.0,37.0
206,38.0,34.0,20.0,36.0
207,39.0,35.0,21.0,39.0
208,38.0,34.0,20.0,38.0
209,39.0,35.0,21.0,39.0
210,38.0,34.0,20.0,38.0
211,39.0,35.0,21.0,39.0
212,38.0,34.0,20.0,38.0
213,39.0,35.0,21.0,39.0
214,38.0,34.0,20.0,38.0
215,39.0,35.0,21.0,39.0
216,38.0,34.0,20.0,38.0
217,39.0,35.0,21.0,41.0
218,38.0,34.0,20.0,40.0
219,39.0,35.0,21.0,39.0
220,38.0,34.0,20.0,38.0
221,39.0,35.0,21.0,41.0
222,38.0,34.0,20.0,40.0
223,39.0,35.0,21.0,41.0
224,38.0,34.0,20.0,40.0
225,43.0,39.0,23.0,43.0
226,42.0,38.0,22.0,42.0
227,43.0,41.0,23.0,43.0
228,42.0,40.0,22.0,42.0
229,43.0,41.0,23.0,43.0
230,42.0,40.0,22.0,42.0
231,43.0,41.0,23.0,43.0
232,42.0,40.0,22.0,42.0
233,43.0,41.0,23.0,43.0
234,42.0,40.0,22.0,42.0
235,43.0,41.0,23.0,43.0
236,42.0,40.0,22.0,42.0
237,43.0,41.0,23.0,43.0
238,42.0,40.0,22.0,42.0
239,43.0,41.0,23.0,43.0
240,42.0,40.0,22.0,42.0
241,43.0,39.0,23.0,43.0
242,42.0,38.0,22.0,42.0
243,43.0,39.0,23.0,43.0
244,42.0,38.0,22.0,42.0
245,43.0,39.0,23.0,43.0
246,42.0,38.0,22.0,42.0
247,43.0,39.0,23.0,43.0
248,42.0,38.0,22.0,42.0
249,43.0,39.0,23.0,45.0
250,42.0,38.0,22.0,44.0
251,43.0,39.0,23.0,45.0
252,42.0,38.0,22.0,44.0
253,43.0,39.0,23.0,45.0
254,42.0,38.0,22.0,44.0
255,43.0,39.0,23.0,45.0
256,42.0,38.0,22.0,44.0
257,47.0,43.0,25.0,45.0
258,46.0,42.0,24.0,44.0
259,47.0,43.0,25.0,47.0
260,46.0,42.0,24.0,46.0
261,47.0,43.0,25.0,45.0
262,46.0,42.0,24.0,44.0
263,47.0,43.0,25.0,47.0
264,46.0,42.0,24.0,46.0
265,47.0,43.0,25.0,47.0
266,46.0,42.0,24.0,46.0
267,47.0,43.0,25.0,47.0
268,46.0,42.0,24.0,46.0
269,47.0,43.0,25.0,47.0
270,46.0,42.0,24.0,46.0
271,47.0,43.0,25.0,47.0
272,46.0,42.0,24.0,46.0
273,47.0,43.0,25.0,47.0
274,46.0,42.0,24.0,46.0
275,47.0,43.0,25.0,47.0
276,46.0,42.0,24.0,46.0
277,47.0,43.0,25.0,47.0
278,46.0,42.0,24.0,46.0
279,47.0,43.0,25.0,47.0
280,46.0,42.0,24.0,46.0
281,47.0,43.0,25.0,49.0
282,46.0,42.0,24.0,48.0
283,47.0,43.0,25.0,49.0
284,46.0,42.0,24.0,48.0
285,47.0,43.0,25.0,49.0
286,46.0,42.0,24.0,48.0
287,47.0,43.0,25.0,49.0
288,46.0,42.0,24.0,48.0
289,51.0,47.0,27.0,49.0
