Final Quaternary Strand Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,158.0
2,0.0,0.0,0.0,158.0
3,0.0,0.0,0.0,158.0
4,0.0,0.0,0.0,158.0
5,2.0,2.0,2.0,158.0
6,4.0,4.0,4.0,158.0
7,6.0,6.0,6.0,158.0
8,6.0,6.0,8.0,158.0
9,8.0,8.0,10.0,158.0
10,10.0,10.0,12.0,158.0
11,12.0,12.0,14.0,158.0
12,14.0,14.0,16.0,158.0
13,16.0,16.0,18.0,158.0
14,18.0,18.0,20.0,158.0
15,20.0,20.0,22.0,158.0
16,22.0,22.0,24.0,158.0
17,24.0,24.0,26.0,158.0
18,26.0,26.0,28.0,158.0
19,28.0,28.0,30.0,158.0
20,30.0,30.0,32.0,158.0
21,30.0,30.0,32.0,158.0
22,32.0,32.0,34.0,158.0
23,32.0,32.0,36.0,158.0
24,32.0,32.0,38.0,158.0
25,34.0,34.0,40.0,158.0
26,36.0,36.0,42.0,158.0
27,38.0,38.0,44.0,158.0
28,40.0,40.0,46.0,158.0
29,42.0,42.0,48.0,158.0
30,44.0,44.0,50.0,158.0
31,46.0,46.0,52.0,158.0
32,48.0,48.0,54.0,158.0
33,50.0,50.0,56.0,158.0
34,52.0,52.0,58.0,158.0
35,54.0,54.0,60.0,158.0
36,56.0,56.0,62.0,158.0
37,58.0,58.0,64.0,158.0
38,60.0,60.0,64.0,158.0
39,62.0,62.0,66.0,158.0
40,64.0,64.0,68.0,158.0
41,64.0,64.0,70.0,158.0
42,64.0,64.0,72.0,158.0
43,66.0,66.0,74.0,158.0
44,68.0,68.0,76.0,158.0
45,70.0,70.0,78.0,158.0
46,72.0,72.0,80.0,158.0
47,74.0,74.0,82.0,158.0
48,76.0,76.0,84.0,158.0
49,78.0,78.0,86.0,158.0
50,80.0,80.0,88.0,158.0
51,82.0,82.0,90.0,158.0
52,84.0,84.0,92.0,158.0
53,86.0,86.0,94.0,158.0
54,88.0,88.0,96.0,158.0
55,90.0,90.0,96.0,158.0
56,92.0,92.0,98.0,158.0
57,94.0,94.0,100.0,158.0
58,96.0,96.0,102.0,158.0
59,96.0,96.0,104.0,158.0
60,96.0,96.0,106.0,158.0
61,98.0,98.0,108.0,158.0
62,100.0,100.0,110.0,158.0
63,102.0,102.0,112.0,158.0
64,104.0,104.0,114.0,158.0
65,106.0,106.0,116.0,158.0
66,108.0,108.0,118.0,158.0
67,110.0,110.0,120.0,158.0
68,112.0,112.0,122.0,158.0
69,114.0,114.0,124.0,158.0
70,114.0,114.0,126.0,158.0
71,116.0,116.0,128.0,158.0
72,118.0,118.0,128.0,158.0
73,120.0,120.0,130.0,158.0
74,122.0,122.0,132.0,158.0
75,124.0,124.0,134.0,158.0
76,126.0,126.0,136.0,158.0
77,128.0,128.0,138.0,158.0
78,128.0,128.0,140.0,158.0
79,128.0,128.0,142.0,158.0
80,130.0,132.0,144.0,158.0
81,132.0,134.0,146.0,158.0
82,134.0,136.0,148.0,158.0
83,136.0,138.0,150.0,158.0
84,138.0,140.0,152.0,158.0
85,140.0,142.0,154.0,158.0
86,142.0,144.0,156.0,158.0
87,144.0,146.0,158.0,158.0
88,146.0,148.0,160.0,158.0
89,148.0,150.0,160.0,158.0
90,150.0,152.0,162.0,158.0
91,152.0,154.0,164.0,158.0
92,154.0,156.0,166.0,158.0
93,156.0,158.0,168.0,158.0
94,158.0,160.0,170.0,158.0
95,160.0,160.0,172.0,158.0
96,160.0,160.0,174.0,160.0
97,160.0,162.0,176.0,162.0
98,162.0,164.0,178.0,164.0
99,164.0,166.0,180.0,164.0
100,166.0,170.0,182.0,168.0
101,168.0,170.0,184.0,168.0
102,170.0,172.0,186.0,170.0
103,172.0,174.0,188.0,172.0
104,174.0,176.0,190.0,174.0
105,176.0,178.0,192.0,174.0
106,178.0,180.0,192.0,178.0
107,180.0,182.0,194.0,178.0
108,182.0,184.0,196.0,180.0
109,184.0,186.0,198.0,182.0
110,186.0,188.0,200.0,184.0
111,188.0,190.0,202.0,186.0
112,190.0,192.0,204.0,188.0
113,192.0,192.0,206.0,190.0
114,192.0,192.0,208.0,192.0
115,192.0,194.0,210.0,194.0
116,194.0,196.0,212.0,196.0
117,196.0,198.0,214.0,196.0
118,198.0,200.0,216.0,198.0
119,200.0,202.0,218.0,200.0
120,202.0,206.0,220.0,204.0
121,204.0,208.0,222.0,206.0
122,206.0,210.0,224.0,206.0
123,208.0,212.0,224.0,208.0
124,210.0,214.0,226.0,210.0
125,212.0,216.0,228.0,212.0
126,214.0,218.0,230.0,214.0
127,216.0,220.0,232.0,216.0
128,218.0,222.0,234.0,216.0
129,220.0,224.0,236.0,220.0
