Final Quaternary Strand Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks
0,0.0,0.0,0.0
1,1.0,1.0,1.0
2,2.0,2.0,2.0
3,3.0,3.0,3.0
4,4.0,4.0,4.0
5,4.0,4.0,4.0
6,4.0,4.0,4.0
7,4.0,4.0,4.0
8,5.0,5.0,4.0
9,5.0,5.0,4.0
10,5.0,5.0,4.0
11,5.0,5.0,4.0
12,5.0,5.0,4.0
13,5.0,5.0,4.0
14,5.0,5.0,4.0
15,5.0,5.0,4.0
16,5.0,5.0,4.0
17,5.0,5.0,4.0
18,5.0,5.0,4.0
19,5.0,5.0,4.0
20,5.0,5.0,4.0
21,6.0,6.0,5.0
22,6.0,6.0,5.0
23,7.0,7.0,5.0
24,8.0,8.0,5.0
25,8.0,8.0,5.0
26,8.0,8.0,5.0
27,8.0,8.0,5.0
28,8.0,8.0,5.0
29,8.0,8.0,5.0
30,8.0,8.0,5.0
31,8.0,8.0,5.0
32,8.0,8.0,5.0
33,8.0,8.0,5.0
34,8.0,8.0,5.0
35,8.0,8.0,5.0
36,8.0,8.0,5.0
37,8.0,8.0,5.0
38,8.0,8.0,6.0
39,8.0,8.0,6.0
40,8.0,8.0,6.0
41,9.0,9.0,6.0
42,10.0,10.0,6.0
43,10.0,10.0,6.0
44,10.0,10.0,6.0
45,10.0,10.0,6.0
46,10.0,10.0,6.0
47,10.0,10.0,6.0
48,10.0,10.0,6.0
49,10.0,10.0,6.0
50,10.0,10.0,6.0
51,10.0,10.0,6.0
52,10.0,10.0,6.0
53,10.0,10.0,6.0
54,10.0,10.0,6.0
55,10.0,10.0,7.0
56,10.0,10.0,7.0
57,10.0,10.0,7.0
58,10.0,10.0,7.0
59,11.0,11.0,7.0
60,12.0,12.0,7.0
61,12.0,12.0,7.0
62,12.0,12.0,7.0
63,12.0,12.0,7.0
64,12.0,12.0,7.0
65,12.0,12.0,7.0
66,12.0,12.0,7.0
67,12.0,12.0,7.0
68,12.0,12.0,7.0
69,12.0,12.0,7.0
70,13.0,13.0,7.0
71,13.0,13.0,7.0
72,13.0,13.0,8.0
73,13.0,13.0,8.0
74,13.0,13.0,8.0
75,13.0,13.0,8.0
76,13.0,13.0,8.0
77,13.0,13.0,8.0
78,14.0,14.0,8.0
79,15.0,15.0,8.0
80,15.0,14.0,8.0
81,15.0,14.0,8.0
82,15.0,14.0,8.0
83,15.0,14.0,8.0
84,15.0,14.0,8.0
85,15.0,14.0,8.0
86,15.0,14.0,8.0
87,15.0,14.0,8.0
88,15.0,14.0,8.0
89,15.0,14.0,9.0
90,15.0,14.0,9.0
91,15.0,14.0,9.0
92,15.0,14.0,9.0
93,15.0,14.0,9.0
94,15.0,14.0,9.0
95,15.0,15.0,9.0
96,16.0,16.0,9.0
97,17.0,16.0,9.0
98,17.0,16.0,9.0
99,17.0,16.0,9.0
100,17.0,15.0,9.0
101,17.0,16.0,9.0
102,17.0,16.0,9.0
103,17.0,16.0,9.0
104,17.0,16.0,9.0
105,17.0,16.0,9.0
106,17.0,16.0,10.0
107,17.0,16.0,10.0
108,17.0,16.0,10.0
109,17.0,16.0,10.0
110,17.0,16.0,10.0
111,17.0,16.0,10.0
112,17.0,16.0,10.0
113,17.0,17.0,10.0
114,18.0,18.0,10.0
115,19.0,18.0,10.0
116,19.0,18.0,10.0
117,19.0,18.0,10.0
118,19.0,18.0,10.0
119,19.0,18.0,10.0
120,19.0,17.0,10.0
121,19.0,17.0,10.0
122,19.0,17.0,10.0
123,19.0,17.0,11.0
124,19.0,17.0,11.0
125,19.0,17.0,11.0
126,19.0,17.0,11.0
127,19.0,17.0,11.0
128,19.0,17.0,11.0
129,19.0,17.0,11.0
130,19.0,18.0,11.0
131,19.0,19.0,11.0
132,20.0,19.0,11.0
133,21.0,20.0,11.0
134,21.0,20.0,11.0
135,21.0,20.0,11.0
136,21.0,20.0,11.0
137,21.0,20.0,11.0
138,21.0,20.0,11.0
139,21.0,20.0,11.0
140,21.0,19.0,12.0
141,21.0,19.0,12.0
142,21.0,19.0,12.0
143,21.0,19.0,12.0
144,21.0,19.0,12.0
145,21.0,19.0,12.0
146,21.0,19.0,12.0
147,21.0,19.0,12.0
148,21.0,20.0,12.0
149,21.0,21.0,12.0
150,22.0,21.0,12.0
151,23.0,21.0,12.0
152,23.0,21.0,12.0
153,23.0,21.0,12.0
154,23.0,21.0,12.0
155,23.0,21.0,12.0
156,23.0,21.0,12.0
157,23.0,21.0,13.0
158,23.0,21.0,13.0
159,23.0,21.0,13.0
160,23.0,21.0,13.0
161,23.0,21.0,13.0
162,23.0,21.0,13.0
163,23.0,21.0,13.0
164,23.0,21.0,13.0
165,23.0,21.0,13.0
166,23.0,22.0,13.0
167,23.0,23.0,13.0
168,24.0,23.0,13.0
169,25.0,23.0,13.0
170,25.0,23.0,13.0
171,25.0,23.0,13.0
172,25.0,23.0,13.0
173,25.0,23.0,13.0
174,25.0,23.0,14.0
175,25.0,23.0,14.0
176,25.0,23.0,14.0
177,25.0,23.0,14.0
178,25.0,23.0,14.0
179,25.0,23.0,14.0
180,25.0,23.0,14.0
181,25.0,23.0,14.0
182,25.0,23.0,14.0
183,25.0,23.0,14.0
184,25.0,24.0,14.0
185,25.0,25.0,14.0
186,26.0,25.0,14.0
187,27.0,25.0,14.0
188,27.0,25.0,14.0
189,27.0,25.0,14.0
190,27.0,25.0,14.0
191,27.0,25.0,15.0
192,27.0,25.0,15.0
193,27.0,25.0,15.0
194,27.0,25.0,15.0
195,27.0,25.0,15.0
196,27.0,25.0,15.0
197,27.0,25.0,15.0
198,27.0,25.0,15.0
199,27.0,25.0,15.0
200,27.0,25.0,14.0
201,27.0,25.0,14.0
202,27.0,26.0,14.0
203,27.0,27.0,14.0
204,28.0,27.0,14.0
205,29.0,27.0,14.0
206,29.0,27.0,14.0
207,29.0,27.0,15.0
208,29.0,27.0,15.0
209,29.0,27.0,15.0
210,29.0,27.0,15.0
211,29.0,27.0,15.0
212,29.0,27.0,15.0
213,29.0,27.0,15.0
214,29.0,27.0,15.0
215,29.0,27.0,15.0
216,29.0,27.0,15.0
217,29.0,27.0,15.0
218,29.0,27.0,15.0
219,29.0,27.0,15.0
220,29.0,28.0,15.0
221,29.0,29.0,15.0
222,30.0,29.0,15.0
223,31.0,29.0,15.0
224,31.0,29.0,16.0
225,31.0,29.0,16.0
226,31.0,29.0,16.0
227,31.0,29.0,16.0
228,31.0,29.0,16.0
229,31.0,29.0,16.0
230,31.0,29.0,16.0
231,31.0,29.0,16.0
232,31.0,29.0,16.0
233,31.0,29.0,16.0
234,31.0,29.0,16.0
235,31.0,29.0,16.0
236,31.0,29.0,16.0
237,31.0,29.0,16.0
238,31.0,30.0,16.0
239,31.0,31.0,16.0
240,32.0,31.0,16.0
241,33.0,31.0,17.0
242,33.0,31.0,17.0
243,33.0,31.0,17.0
244,33.0,31.0,17.0
245,33.0,31.0,17.0
246,33.0,31.0,17.0
247,33.0,31.0,17.0
248,33.0,31.0,17.0
249,33.0,31.0,17.0
250,33.0,31.0,17.0
251,33.0,31.0,17.0
252,33.0,31.0,17.0
253,33.0,31.0,17.0
254,33.0,31.0,17.0
255,33.0,31.0,17.0
256,33.0,32.0,17.0
257,33.0,33.0,17.0
258,34.0,33.0,18.0
259,35.0,33.0,18.0
260,36.0,33.0,18.0
261,36.0,33.0,18.0
262,36.0,33.0,18.0
263,36.0,33.0,18.0
264,36.0,33.0,18.0
265,36.0,33.0,18.0
266,36.0,33.0,18.0
267,36.0,33.0,18.0
268,36.0,33.0,18.0
269,36.0,33.0,18.0
270,36.0,33.0,18.0
271,36.0,33.0,18.0
272,36.0,33.0,18.0
273,36.0,33.0,18.0
274,36.0,34.0,18.0
275,36.0,35.0,19.0
276,36.0,35.0,19.0
277,37.0,35.0,19.0
278,38.0,35.0,19.0
279,38.0,35.0,19.0
280,38.0,35.0,19.0
281,38.0,35.0,19.0
282,38.0,35.0,19.0
283,38.0,35.0,19.0
284,38.0,35.0,19.0
285,38.0,35.0,19.0
286,38.0,35.0,19.0
287,38.0,35.0,19.0
288,38.0,35.0,19.0
289,38.0,35.0,19.0
290,38.0,35.0,19.0
291,38.0,35.0,19.0
292,38.0,36.0,20.0
293,38.0,37.0,20.0
294,38.0,37.0,20.0
295,39.0,37.0,20.0
296,40.0,37.0,20.0
297,40.0,37.0,20.0
298,40.0,37.0,20.0
299,40.0,37.0,20.0
300,40.0,37.0,20.0
301,40.0,37.0,20.0
302,40.0,37.0,20.0
303,40.0,37.0,20.0
304,40.0,37.0,20.0
305,40.0,37.0,20.0
306,40.0,37.0,20.0
307,40.0,37.0,20.0
308,40.0,37.0,20.0
