,max redundancy in quaternary letters
0,11.0
1,11.0
2,11.0
3,12.0
4,12.0
5,12.0
6,12.0
7,12.0
8,13.0
9,12.0
10,13.0
11,13.0
12,13.0
13,13.0
14,13.0
15,13.0
16,13.0
17,13.0
18,13.0
19,14.0
20,14.0
21,14.0
22,14.0
23,14.0
24,15.0
25,15.0
26,15.0
27,15.0
28,15.0
29,16.0
30,15.0
31,16.0
32,16.0
33,16.0
34,16.0
35,16.0
36,16.0
37,16.0
38,16.0
39,16.0
40,17.0
41,17.0
42,17.0
43,17.0
44,17.0
45,18.0
46,18.0
47,18.0
48,18.0
49,18.0
50,19.0
51,18.0
52,19.0
53,19.0
54,19.0
55,19.0
56,19.0
57,19.0
58,19.0
59,19.0
60,19.0
61,20.0
62,20.0
63,20.0
64,20.0
65,20.0
66,21.0
67,21.0
68,21.0
69,21.0
70,21.0
71,22.0
72,21.0
73,22.0
74,22.0
75,22.0
76,22.0
77,22.0
78,22.0
79,22.0
80,22.0
81,22.0
82,23.0
83,23.0
84,23.0
85,23.0
86,23.0
87,24.0
88,24.0
89,24.0
90,24.0
91,24.0
92,25.0
93,24.0
94,25.0
95,25.0
96,25.0
97,25.0
98,25.0
99,25.0
100,25.0
101,25.0
102,25.0
103,26.0
104,26.0
105,26.0
106,26.0
107,26.0
108,27.0
109,27.0
110,27.0
111,27.0
112,27.0
113,28.0
114,27.0
115,28.0
116,28.0
117,28.0
118,28.0
119,28.0
120,28.0
121,28.0
122,28.0
123,28.0
124,29.0
125,29.0
126,29.0
127,29.0
128,29.0
129,30.0
130,30.0
131,30.0
132,30.0
133,30.0
134,31.0
135,30.0
136,31.0
137,31.0
138,31.0
139,31.0
140,31.0
141,31.0
142,31.0
143,31.0
144,31.0
145,32.0
146,32.0
147,32.0
148,32.0
149,32.0
150,33.0
151,33.0
152,33.0
153,33.0
154,33.0
155,34.0
156,33.0
157,34.0
158,34.0
159,34.0
160,34.0
161,34.0
162,34.0
163,34.0
164,34.0
165,34.0
166,35.0
167,35.0
168,35.0
169,35.0
170,35.0
171,36.0
172,36.0
173,36.0
174,36.0
175,36.0
176,37.0
177,36.0
178,37.0
179,37.0
180,37.0
181,37.0
182,37.0
183,37.0
184,37.0
185,37.0
186,37.0
187,38.0
188,38.0
189,38.0
190,38.0
191,38.0
192,39.0
193,39.0
194,39.0
195,39.0
196,39.0
197,40.0
198,39.0
199,40.0
200,40.0
201,40.0
202,40.0
203,40.0
204,40.0
205,40.0
206,40.0
207,40.0
208,41.0
209,41.0
210,41.0
211,41.0
212,41.0
213,42.0
214,42.0
215,42.0
216,42.0
217,42.0
218,43.0
219,42.0
220,43.0
221,43.0
222,43.0
223,43.0
224,43.0
225,43.0
226,43.0
227,43.0
228,43.0
229,44.0
230,44.0
231,44.0
232,44.0
233,44.0
234,45.0
235,45.0
236,45.0
237,45.0
238,45.0
239,46.0
240,45.0
241,46.0
242,46.0
243,46.0
244,46.0
245,46.0
246,46.0
247,46.0
248,46.0
249,46.0
250,47.0
251,47.0
252,47.0
253,47.0
254,47.0
255,48.0
256,48.0
257,48.0
258,48.0
259,48.0
260,49.0
261,48.0
262,49.0
263,49.0
264,49.0
265,49.0
266,49.0
267,49.0
268,49.0
269,49.0
270,49.0
271,50.0
272,50.0
273,50.0
274,50.0
275,50.0
276,51.0
277,51.0
278,51.0
279,51.0
280,51.0
281,52.0
282,51.0
283,52.0
284,52.0
285,52.0
286,52.0
287,52.0
288,52.0
289,52.0
290,52.0
291,52.0
292,53.0
293,53.0
294,53.0
295,53.0
296,53.0
297,54.0
298,54.0
299,54.0
300,54.0
301,54.0
302,55.0
303,54.0
304,55.0
305,55.0
306,55.0
307,55.0
308,55.0
309,55.0
310,55.0
311,55.0
312,55.0
313,56.0
314,56.0
315,56.0
316,56.0
317,56.0
318,57.0
319,57.0
320,57.0
321,57.0
322,57.0
323,58.0
324,57.0
325,58.0
326,58.0
327,58.0
328,58.0
329,58.0
330,58.0
331,58.0
332,58.0
333,58.0
334,59.0
335,59.0
336,59.0
337,59.0
338,59.0
339,60.0
340,60.0
341,60.0
342,60.0
343,60.0
344,61.0
345,60.0
346,61.0
347,61.0
348,61.0
349,61.0
350,61.0
351,61.0
352,61.0
353,61.0
354,61.0
355,62.0
356,62.0
357,62.0
358,62.0
359,62.0
360,63.0
361,63.0
362,63.0
363,63.0
364,63.0
365,64.0
366,63.0
367,64.0
368,64.0
369,64.0
370,64.0
371,64.0
372,64.0
373,64.0
374,64.0
375,64.0
376,65.0
377,65.0
378,65.0
379,65.0
380,65.0
381,66.0
382,66.0
383,66.0
384,66.0
385,66.0
386,67.0
387,66.0
388,67.0
389,67.0
390,67.0
391,67.0
392,67.0
393,67.0
394,67.0
395,67.0
396,67.0
397,68.0
398,68.0
399,68.0
400,68.0
401,68.0
402,69.0
403,69.0
404,69.0
405,69.0
406,69.0
407,70.0
408,69.0
409,70.0
410,70.0
411,70.0
412,70.0
413,70.0
414,70.0
415,70.0
416,70.0
417,70.0
418,71.0
419,71.0
420,71.0
