,max redundancy in quaternary letters
0,14.0
1,14.0
2,14.0
3,14.0
4,15.0
5,14.0
6,15.0
7,15.0
8,15.0
9,15.0
10,15.0
11,15.0
12,15.0
13,15.0
14,15.0
15,16.0
16,16.0
17,16.0
18,16.0
19,16.0
20,17.0
21,17.0
22,17.0
23,17.0
24,17.0
25,18.0
26,17.0
27,18.0
28,18.0
29,18.0
30,18.0
31,18.0
32,18.0
33,18.0
34,18.0
35,18.0
36,19.0
37,19.0
38,19.0
39,19.0
40,19.0
41,20.0
42,20.0
43,20.0
44,20.0
45,20.0
46,21.0
47,20.0
48,21.0
49,21.0
50,21.0
51,21.0
52,21.0
53,21.0
54,21.0
55,21.0
56,21.0
57,22.0
58,22.0
59,22.0
60,22.0
61,22.0
62,23.0
63,23.0
64,23.0
65,23.0
66,23.0
67,24.0
68,23.0
69,24.0
70,24.0
71,24.0
72,24.0
73,24.0
74,24.0
75,24.0
76,24.0
77,24.0
78,25.0
79,25.0
80,25.0
81,25.0
82,25.0
83,26.0
84,26.0
85,26.0
86,26.0
87,26.0
88,27.0
89,26.0
90,27.0
91,27.0
92,27.0
93,27.0
94,27.0
95,27.0
96,27.0
97,27.0
98,27.0
99,28.0
100,28.0
101,28.0
102,28.0
103,28.0
104,29.0
105,29.0
106,29.0
107,29.0
108,29.0
109,30.0
110,29.0
111,30.0
112,30.0
113,30.0
114,30.0
115,30.0
116,30.0
117,30.0
118,30.0
119,30.0
120,31.0
121,31.0
122,31.0
123,31.0
124,31.0
125,32.0
126,32.0
127,32.0
128,32.0
129,32.0
130,33.0
131,32.0
132,33.0
133,33.0
134,33.0
135,33.0
136,33.0
137,33.0
138,33.0
139,33.0
140,33.0
141,34.0
142,34.0
143,34.0
144,34.0
145,34.0
146,35.0
147,35.0
148,35.0
149,35.0
150,35.0
151,36.0
152,35.0
153,36.0
154,36.0
155,36.0
156,36.0
157,36.0
158,36.0
159,36.0
160,36.0
161,36.0
162,37.0
163,37.0
164,37.0
165,37.0
166,37.0
167,38.0
168,38.0
169,38.0
170,38.0
171,38.0
172,39.0
173,38.0
174,39.0
175,39.0
176,39.0
177,39.0
178,39.0
179,39.0
180,39.0
181,39.0
182,39.0
183,40.0
184,40.0
185,40.0
186,40.0
187,40.0
188,41.0
189,41.0
190,41.0
191,41.0
192,41.0
193,42.0
194,41.0
195,42.0
196,42.0
197,42.0
198,42.0
199,42.0
200,42.0
201,42.0
202,42.0
203,42.0
204,43.0
205,43.0
206,43.0
207,43.0
208,43.0
209,44.0
210,44.0
211,44.0
212,44.0
213,44.0
214,45.0
215,44.0
216,45.0
217,45.0
218,45.0
219,45.0
220,45.0
221,45.0
222,45.0
223,45.0
224,45.0
225,46.0
226,46.0
227,46.0
228,46.0
229,46.0
230,47.0
231,47.0
232,47.0
233,47.0
234,47.0
235,48.0
236,47.0
237,48.0
238,48.0
239,48.0
240,48.0
241,48.0
242,48.0
243,48.0
244,48.0
245,48.0
246,49.0
247,49.0
248,49.0
249,49.0
250,49.0
251,50.0
252,50.0
253,50.0
254,50.0
255,50.0
256,51.0
257,50.0
258,51.0
259,51.0
260,51.0
261,51.0
262,51.0
263,51.0
264,51.0
265,51.0
266,51.0
267,52.0
268,52.0
269,52.0
270,52.0
271,52.0
272,53.0
273,53.0
274,53.0
275,53.0
276,53.0
277,54.0
278,53.0
279,54.0
280,54.0
281,54.0
282,54.0
283,54.0
284,54.0
285,54.0
286,54.0
287,54.0
288,55.0
289,55.0
290,55.0
291,55.0
292,55.0
293,56.0
294,56.0
295,56.0
296,56.0
297,56.0
298,57.0
299,56.0
300,57.0
301,57.0
302,57.0
303,57.0
304,57.0
305,57.0
306,57.0
307,57.0
308,57.0
309,58.0
310,58.0
311,58.0
312,58.0
313,58.0
314,59.0
315,59.0
316,59.0
317,59.0
318,59.0
319,60.0
320,59.0
321,60.0
322,60.0
323,60.0
324,60.0
325,60.0
326,60.0
327,60.0
328,60.0
329,60.0
330,61.0
331,61.0
332,61.0
333,61.0
334,61.0
335,62.0
336,62.0
337,62.0
338,62.0
339,62.0
340,63.0
341,62.0
342,63.0
343,63.0
344,63.0
345,63.0
346,63.0
347,63.0
348,63.0
349,63.0
350,63.0
351,64.0
352,64.0
353,64.0
354,64.0
355,64.0
356,65.0
357,65.0
358,65.0
359,65.0
360,65.0
361,66.0
362,65.0
363,66.0
364,66.0
365,66.0
366,66.0
367,66.0
368,66.0
369,66.0
370,66.0
371,66.0
372,67.0
373,67.0
374,67.0
375,67.0
376,67.0
377,68.0
378,68.0
379,68.0
380,68.0
381,68.0
382,69.0
383,68.0
384,69.0
385,69.0
386,69.0
387,69.0
388,69.0
389,69.0
390,69.0
391,69.0
392,69.0
393,70.0
394,70.0
395,70.0
396,70.0
397,70.0
398,71.0
399,71.0
400,71.0
