,0
0,0.0
1,2.0
2,8.0
3,24.0
4,96.0
5,320.0
6,1280.0
7,4416.0
8,17608.0
9,62408.0
10,248360.0
11,1792992.0
12,3563392.0
13,26062080.0
14,51751168.0
15,382210304.0
16,758461240.0
17,5644288480.0
18,11194975944.0
19,83816825872.0
20,464694914784.0
21,1250349697792.0
22,6971290340464.0
23,18723260660992.0
24,104888704423976.0
25,281272958333936.0
26,1582133651239976.0
27,4237130102379712.0
28,2.391757944215265e+16
29,6.398135800779266e+16
30,3.622732505774969e+17
31,1.8085514345428252e+18
32,5.496736167057648e+18
33,2.7523238422996505e+19
34,8.3530076728584e+19
35,4.1937348104743086e+20
36,1.271107155018447e+21
37,6.397164281074096e+21
38,1.936709577381108e+22
39,9.768265487505662e+22
40,4.591484072571053e+23
41,1.4929805896025605e+24
42,7.032538405737608e+24
43,2.2838377582618404e+25
44,1.0778789847980458e+26
45,3.496407115167911e+26
46,1.653129641332201e+27
47,5.356718383328741e+27
48,2.5369084464663715e+28
49,8.212451621850608e+28
50,3.895356545428543e+29
